date,game,market,pick,line,proj,edge,book,odds,stake,result,profit
2026-03-05,Dallas Mavericks @ Orlando Magic,SPREAD,Mavericks +7.5,7.5,Dallas Mavericks -3.0,4.5,Caesars,1.91,0.25,Win,0.23
2026-03-05,Golden State Warriors @ Houston Rockets,TOTAL,UNDER 213.0,213.0,207.9,5.1,Caesars,1.91,0.27,Loss,-0.27
2026-03-05,Detroit Pistons @ San Antonio Spurs,TOTAL,OVER 228.5,228.5,235.3,6.8,Caesars,1.91,0.36,Loss,-0.36
2026-03-05,Chicago Bulls @ Phoenix Suns,TOTAL,OVER 224.5,224.5,228.2,3.7,DraftKings,1.91,0.25,Loss,-0.25
2026-03-05,Los Angeles Lakers @ Denver Nuggets,SPREAD,Lakers +5.0,5.0,Los Angeles Lakers -0.5,4.5,Fanatics,1.91,0.25,Win,0.66
2026-03-05,Los Angeles Lakers @ Denver Nuggets,TOTAL,UNDER 241.0,241.0,227.2,13.8,Fanatics,1.91,0.72,Win,0.66
2026-03-05,New Orleans Pelicans @ Sacramento Kings,TOTAL,UNDER 234.5,234.5,225.4,9.1,Caesars,1.91,0.48,Loss,-0.48
