date,team,market,line,book,projection,prob,ev,edge_pct,bet,game,odds,stake,result,profit,grade
2026-04-12,Hawks,Spread,+4.5,BetRivers,,,,,Hawks,Atlanta Hawks @ Miami Heat,,1.0,Pending,0,A
2026-04-12,Bulls,UNDER,248.5,Caesars,,,,,UNDER,Chicago Bulls @ Dallas Mavericks,,1.0,Pending,0,A
2026-04-12,Warriors,OVER,226.0,Caesars,,,,,OVER,Golden State Warriors @ Los Angeles Clippers,,1.0,Pending,0,A
2026-04-12,Pelicans,UNDER,236.5,Caesars,,,,,UNDER,New Orleans Pelicans @ Minnesota Timberwolves,,1.0,Pending,0,A
2026-04-12,Hawks,ML,0,Caesars,,,,,Hawks,Atlanta Hawks @ Miami Heat,,1.0,Pending,0,A
2026-04-12,Nuggets,Spread,+11.0,BetUS,,,,,Nuggets,Denver Nuggets @ San Antonio Spurs,,0.5,Pending,0,B
2026-04-12,Celtics,Spread,+12.5,LowVig.ag,,,,,Celtics,Orlando Magic @ Boston Celtics,,0.5,Pending,0,B
2026-04-12,Nets,Spread,+23.5,Caesars,,,,,Nets,Brooklyn Nets @ Toronto Raptors,,0.5,Pending,0,B
2026-04-12,Nets,OVER,219.5,Caesars,,,,,OVER,Brooklyn Nets @ Toronto Raptors,,0.5,Pending,0,B
2026-04-12,Knicks,Spread,+13.5,FanDuel,,,,,Knicks,Charlotte Hornets @ New York Knicks,,0.5,Pending,0,B
2026-04-12,Pacers,Spread,+14.0,BetUS,,,,,Pacers,Detroit Pistons @ Indiana Pacers,,0.5,Pending,0,B
2026-04-12,Pacers,OVER,229.5,BetUS,,,,,OVER,Detroit Pistons @ Indiana Pacers,,0.5,Pending,0,B
2026-04-12,Grizzlies,OVER,225.5,Caesars,,,,,OVER,Memphis Grizzlies @ Houston Rockets,,0.5,Pending,0,B
2026-04-12,Suns,OVER,213.0,Caesars,,,,,OVER,Phoenix Suns @ Oklahoma City Thunder,,0.5,Pending,0,B
