date,player,market,line,book,projection,edge_pct,bet,confidence,role,game,odds,stake,result,profit
2026-02-27,Walter Clayton Jr.,3PTM,1.5,FanDuel,0.5,66.4,UNDER,,Rotation,Memphis Grizzlies @ Dallas Mavericks,2.62,0.5,Pending,0
2026-02-27,Myles Turner,3PTM,2.5,Bovada,0.9,63.3,UNDER,,Rotation,New York Knicks @ Milwaukee Bucks,2.9,0.5,Pending,0
2026-02-27,Kevin Porter Jr.,3PTM,1.5,FanDuel,0.6,62.3,UNDER,,Starter,New York Knicks @ Milwaukee Bucks,3.0,0.5,Pending,0
2026-02-27,Walter Clayton Jr.,PTS,11.5,Bovada,4.8,58.0,UNDER,,Rotation,Memphis Grizzlies @ Dallas Mavericks,2.65,0.5,Pending,0
2026-02-27,Jaylon Tyson,AST,2.5,DraftKings,1.1,54.1,UNDER,,Starter,Cleveland Cavaliers @ Detroit Pistons,2.01,0.5,Pending,0
2026-02-27,Jalen Duren,AST,2.5,Bovada,1.2,52.3,UNDER,,Rotation,Cleveland Cavaliers @ Detroit Pistons,2.7,0.5,Pending,0
2026-02-27,Caleb Martin,AST,2.5,BetOnline.ag,1.2,50.8,UNDER,,Rotation,Memphis Grizzlies @ Dallas Mavericks,2.15,0.5,Pending,0
2026-02-27,Sam Hauser,3PTM,3.5,Bovada,1.7,50.7,UNDER,,Rotation,Brooklyn Nets @ Boston Celtics,2.8,0.5,Pending,0
2026-02-27,A.J. Green,AST,1.5,BetRivers,2.3,50.6,OVER,,Starter,New York Knicks @ Milwaukee Bucks,1.85,0.5,Pending,0
2026-02-27,Aaron Wiggins,PTS,12.5,Bovada,6.3,49.4,UNDER,,Rotation,Denver Nuggets @ Oklahoma City Thunder,3.0,0.5,Pending,0
