date,game,market,pick,line,proj,edge,book,odds,stake,result,profit
2026-03-02,Denver Nuggets @ Charlotte Hornets,SPREAD,Nuggets -11.5,11.5,Nuggets -16.1,4.6,FanDuel,1.91,2.5,Pending,0
2026-03-02,Denver Nuggets @ Charlotte Hornets,TOTAL,UNDER 231.5,231.5,220.0,5.0,FanDuel,1.91,2.5,Pending,0
2026-03-02,Los Angeles Clippers @ Los Angeles Lakers,SPREAD,Clippers +8.0,8.0,Lakers -3.9,4.1,FanDuel,1.91,2.5,Pending,0
2026-03-02,Los Angeles Clippers @ Los Angeles Lakers,TOTAL,UNDER 222.5,222.5,216.1,6.4,FanDuel,1.91,2.5,Pending,0
2026-03-02,Oklahoma City Thunder @ Houston Rockets,SPREAD,Thunder -7.0,7.0,Thunder -10.2,3.2,FanDuel,1.91,1.25,Pending,0
2026-03-02,Oklahoma City Thunder @ Houston Rockets,TOTAL,UNDER 230.5,230.5,222.2,4.0,FanDuel,1.91,1.25,Pending,0
2026-03-02,Toronto Raptors @ Orlando Magic,SPREAD,Magic +5.0,5.0,Magic -1.6,6.6,FanDuel,1.91,2.5,Pending,0
2026-03-02,Toronto Raptors @ Orlando Magic,TOTAL,UNDER 214.5,214.5,207.8,3.4,FanDuel,1.91,1.25,Pending,0
2026-03-02,Philadelphia 76ers @ Boston Celtics,SPREAD,Celtics -8.0,8.0,Celtics -13.2,5.2,FanDuel,1.91,2.5,Pending,0
2026-03-02,Philadelphia 76ers @ Boston Celtics,TOTAL,OVER 217.5,217.5,221.3,3.9,FanDuel,1.91,1.25,Pending,0
