date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,grade,edge_pct
2026-03-09,Philadelphia 76ers @ Cleveland Cavaliers,SPREAD,76ers +12.5,12.5,Philadelphia 76ers -6.8,5.7,BetUS,1.91,0.5,Pending,0,,B,5.7
2026-03-09,Philadelphia 76ers @ Cleveland Cavaliers,TOTAL,UNDER 227.0,227.0,223.2,3.8,BetUS,1.91,0.0,Pending,0,,C,3.8
2026-03-09,Memphis Grizzlies @ Brooklyn Nets,TOTAL,OVER 222.5,222.5,228.4,5.9,DraftKings,1.91,0.5,Pending,0,,B,5.9
2026-03-09,Denver Nuggets @ Oklahoma City Thunder,SPREAD,Nuggets +6.5,6.5,Denver Nuggets -2.2,4.3,Fanatics,1.91,0.0,Pending,0,,C,4.3
2026-03-09,Denver Nuggets @ Oklahoma City Thunder,TOTAL,OVER 232.0,232.0,235.6,3.6,Fanatics,1.91,0.0,Pending,0,,C,3.6
2026-03-09,Golden State Warriors @ Utah Jazz,TOTAL,OVER 224.5,224.5,228.6,4.1,DraftKings,1.91,0.0,Pending,0,,C,4.1
