date,player,market,line,book,projection,edge_pct,bet,confidence,role,game,odds,stake,result,profit
2026-03-01,Bruce Brown,3PTM,0.5,BetOnline.ag,1.0,106.2,OVER,A,Rotation,Minnesota Timberwolves @ Denver Nuggets,1.84,2.50,Pending,0
2026-03-01,Maxime Raynaud,3PTM,0.5,BetMGM,0.1,83.3,UNDER,A,Starter,Sacramento Kings @ Los Angeles Lakers,3.3,2.50,Pending,0
2026-03-01,Dylan Harper,3PTM,0.5,DraftKings,0.9,79.8,OVER,A,Rotation,San Antonio Spurs @ New York Knicks,1.72,2.50,Pending,0
2026-03-01,Jake LaRavia,3PTM,1.5,FanDuel,0.4,72.7,UNDER,A,Rotation,Sacramento Kings @ Los Angeles Lakers,2.88,2.50,Pending,0
2026-03-01,DeAndre Jordan,PTS,3.5,BetMGM,5.7,63.3,OVER,A,Rotation,New Orleans Pelicans @ Los Angeles Clippers,1.74,2.50,Pending,0
2026-03-01,Jake LaRavia,REB,4.5,Bovada,1.7,61.8,UNDER,B,Rotation,Sacramento Kings @ Los Angeles Lakers,3.05,1.25,Pending,0
2026-03-01,Guerschon Yabusele,PTS,11.5,BetRivers,4.5,60.6,UNDER,B,Rotation,Milwaukee Bucks @ Chicago Bulls,2.18,1.25,Pending,0
2026-03-01,Walter Clayton Jr.,PTS,13.5,Bovada,5.5,58.9,UNDER,B,Rotation,Memphis Grizzlies @ Indiana Pacers,2.75,1.25,Pending,0
2026-03-01,Andre Drummond,PTS,9.5,Bovada,4.2,56.2,UNDER,B,Rotation,Philadelphia 76ers @ Boston Celtics,2.8,1.25,Pending,0
2026-03-01,Collin Sexton,AST,3.5,Caesars,1.6,54.8,UNDER,B,Rotation,Milwaukee Bucks @ Chicago Bulls,2.32,1.25,Pending,0
