date,game,market,pick,line,proj,edge,book,odds,stake,result,profit
2026-03-04,Oklahoma City Thunder @ New York Knicks,TOTAL,UNDER 221.5,221.5,216.0,5.5,FanDuel,1.91,0.25,Pending,0
2026-03-04,Charlotte Hornets @ Boston Celtics,SPREAD,Celtics -6.5,-6.5,+3.4,3.1,FanDuel,1.91,0.25,Pending,0
2026-03-04,Charlotte Hornets @ Boston Celtics,TOTAL,OVER 214.5,214.5,225.0,10.5,FanDuel,1.91,0.25,Pending,0
2026-03-04,Utah Jazz @ Philadelphia 76ers,SPREAD,76ers -8.0,-8.0,+13.5,5.5,FanDuel,1.91,0.25,Pending,0
2026-03-04,Utah Jazz @ Philadelphia 76ers,TOTAL,UNDER 238.5,238.5,232.7,5.8,FanDuel,1.91,0.25,Pending,0
2026-03-04,Portland Trail Blazers @ Memphis Grizzlies,SPREAD,Grizzlies +10.5,10.5,+5.1,5.4,FanDuel,1.91,0.25,Pending,0
2026-03-04,Portland Trail Blazers @ Memphis Grizzlies,TOTAL,OVER 233.5,233.5,240.2,6.7,FanDuel,1.91,0.25,Pending,0
2026-03-04,Atlanta Hawks @ Milwaukee Bucks,SPREAD,Hawks -1.0,-1.0,-3.8,4.8,FanDuel,1.91,0.25,Pending,0
