date,game,market,pick,line,proj,edge,book,odds,stake,result,profit
2026-03-03,Dallas Mavericks @ Charlotte Hornets,SPREAD,Mavericks +12.5,12.5,Hornets -9.1,3.4,FanDuel,1.94,0.25,Pending,0
2026-03-03,Detroit Pistons @ Cleveland Cavaliers,SPREAD,Cavaliers +2.5,2.5,Cavaliers -2.6,5.1,FanDuel,1.91,0.27,Pending,0
2026-03-03,Detroit Pistons @ Cleveland Cavaliers,TOTAL,UNDER 228.5,228.5,225.4,3.1,FanDuel,1.89,0.25,Pending,0
2026-03-03,Washington Wizards @ Orlando Magic,SPREAD,Wizards +15.5,15.5,Magic -7.1,8.4,FanDuel,1.93,0.44,Pending,0
2026-03-03,Washington Wizards @ Orlando Magic,TOTAL,OVER 227.5,227.5,232.9,5.4,FanDuel,1.93,0.28,Pending,0
2026-03-03,New York Knicks @ Toronto Raptors,SPREAD,Raptors +2.5,2.5,Raptors -1.5,4.0,FanDuel,1.91,0.25,Pending,0
2026-03-03,Memphis Grizzlies @ Minnesota Timberwolves,SPREAD,Grizzlies +14.0,14.0,Timberwolves -7.6,6.4,FanDuel,1.94,0.33,Pending,0
2026-03-03,San Antonio Spurs @ Philadelphia 76ers,SPREAD,76ers +8.0,8.0,Spurs -2.8,5.2,FanDuel,1.93,0.27,Pending,0
2026-03-03,New Orleans Pelicans @ Los Angeles Lakers,SPREAD,Pelicans +8.5,8.5,Lakers -3.8,4.7,FanDuel,1.93,0.25,Pending,0
2026-03-03,New Orleans Pelicans @ Los Angeles Lakers,TOTAL,UNDER 242.5,242.5,228.6,13.9,FanDuel,1.88,0.74,Pending,0
2026-03-03,Phoenix Suns @ Sacramento Kings,SPREAD,Kings +10.0,10.0,Suns -3.7,6.3,FanDuel,1.91,0.33,Pending,0
