date,player,market,line,book,projection,edge_pct,bet,confidence,role,game,odds,stake,result,profit
2026-03-04,Miles Bridges,3PTM,1.5,BetOnline.ag,2.9,94.1,OVER,,Starter,Charlotte Hornets @ Boston Celtics,1.84,0.25,Win,0.21
2026-03-04,Keyonte George,3PTM,2.5,DraftKings,4.6,84.1,OVER,,Starter,Utah Jazz @ Philadelphia 76ers,2.41,0.25,Win,0.35
2026-03-04,Isaiah Joe,3PTM,2.5,Bovada,4.4,77.8,OVER,,Rotation,Oklahoma City Thunder @ New York Knicks,2.65,0.25,Loss,-0.25
2026-03-04,Coby White,REB,2.5,BetMGM,4.4,75.2,OVER,,Rotation,Charlotte Hornets @ Boston Celtics,2.35,0.25,Loss,-0.25
2026-03-04,Deni Avdija,3PTM,1.5,FanDuel,0.4,71.3,UNDER,,Rotation,Portland Trail Blazers @ Memphis Grizzlies,2.3,0.25,Void,0
2026-03-04,Ryan Kalkbrenner,PTS,4.5,BetMGM,7.5,67.0,OVER,,Rotation,Charlotte Hornets @ Boston Celtics,2.15,0.25,Win,0.29
2026-03-04,Kobe Sanders,REB,2.5,Bovada,1.1,57.2,UNDER,,Rotation,Indiana Pacers @ Los Angeles Clippers,2.45,2.0,Win,2.9
2026-03-04,Keyonte George,PTS,25.5,Bovada,38.2,50.0,OVER,,Starter,Utah Jazz @ Philadelphia 76ers,3.15,1.83,Win,3.93
2026-03-04,Isaiah Joe,PTS,12.5,Bovada,18.6,48.4,OVER,,Rotation,Oklahoma City Thunder @ New York Knicks,2.9,1.85,Loss,-1.85
2026-03-04,Deni Avdija,PTS,16.5,Bovada,10.2,38.2,UNDER,,Rotation,Portland Trail Blazers @ Memphis Grizzlies,2.9,1.46,Void,0
