date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,council_recommendation,council_score,council_grade,publish,reason
2026-04-23,Bruce Brown,PTS,6.5,Bovada,9.7,0.82,0.754,43.2,OVER,Rotation,Denver Nuggets @ Minnesota Timberwolves,2.15,0.0,Pending,0,,C,support,0.4321,PASS,false,NBA wager: Denver Nuggets @ Minnesota Timberwolves — Bruce Brown OVER 6.5 PTS — Bovada
2026-04-23,Ayo Dosunmu,PTS,12.5,Bovada,14.8,0.72,0.611,43.2,OVER,Starter,Denver Nuggets @ Minnesota Timberwolves,2.25,0.0,Pending,0,,C,support,0.4321,PASS,false,NBA wager: Denver Nuggets @ Minnesota Timberwolves — Ayo Dosunmu OVER 12.5 PTS — Bovada
2026-04-23,Sam Merrill,AST,1.5,DraftKings,2.7,0.82,0.601,58.1,OVER,Rotation,Cleveland Cavaliers @ Toronto Raptors,1.96,0.0,Pending,0,,C,support,0.5815,C,false,NBA wager: Cleveland Cavaliers @ Toronto Raptors — Sam Merrill OVER 1.5 AST — DraftKings
2026-04-23,R.J. Barrett,PTS,19.5,FanDuel,22.6,0.79,0.586,56.6,OVER,Starter,Cleveland Cavaliers @ Toronto Raptors,2.0,0.0,Pending,0,,C,support,0.5660,C,false,NBA wager: Cleveland Cavaliers @ Toronto Raptors — R.J. Barrett OVER 19.5 PTS — FanDuel
2026-04-23,Jarrett Allen,PTS,12.5,DraftKings,16.9,0.79,0.563,56.6,OVER,Rotation,Cleveland Cavaliers @ Toronto Raptors,1.97,0.0,Pending,0,,C,support,0.5660,C,false,NBA wager: Cleveland Cavaliers @ Toronto Raptors — Jarrett Allen OVER 12.5 PTS — DraftKings
2026-04-23,Mikal Bridges,AST,2.5,BetMGM,1.6,0.69,0.558,63.5,UNDER,Rotation,New York Knicks @ Atlanta Hawks,2.25,0.0,Pending,0,,C,support,0.6345,C,false,NBA wager: New York Knicks @ Atlanta Hawks — Mikal Bridges UNDER 2.5 AST — BetMGM
2026-04-23,Anthony Edwards,REB,5.5,BetMGM,4.3,0.64,0.479,43.2,UNDER,Starter,Denver Nuggets @ Minnesota Timberwolves,2.3,0.0,Pending,0,,C,support,0.4321,PASS,false,NBA wager: Denver Nuggets @ Minnesota Timberwolves — Anthony Edwards UNDER 5.5 REB — BetMGM
2026-04-23,Rudy Gobert,REB,10.5,BetMGM,12.3,0.72,0.477,57.7,OVER,Starter,Denver Nuggets @ Minnesota Timberwolves,2.05,0.0,Pending,0,,C,support,0.5771,C,false,NBA wager: Denver Nuggets @ Minnesota Timberwolves — Rudy Gobert OVER 10.5 REB — BetMGM
2026-04-23,Sandro Mamukelashvili,AST,1.5,DraftKings,2.1,0.75,0.422,58.1,OVER,Rotation,Cleveland Cavaliers @ Toronto Raptors,1.89,0.0,Pending,0,,C,support,0.5815,C,false,NBA wager: Cleveland Cavaliers @ Toronto Raptors — Sandro Mamukelashvili OVER 1.5 AST — DraftKings
2026-04-23,Aaron Gordon,AST,2.5,FanDuel,3.4,0.75,0.407,58.1,OVER,Starter,Denver Nuggets @ Minnesota Timberwolves,1.88,0.0,Pending,0,,C,support,0.5815,C,false,NBA wager: Denver Nuggets @ Minnesota Timberwolves — Aaron Gordon OVER 2.5 AST — FanDuel
