date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate,grade,edge_pct,council_recommendation,council_score,council_grade,publish,reason
2026-04-02,Minnesota Timberwolves @ Detroit Pistons,TOTAL,OVER 224.5,224.5,229.8,5.3,DraftKings,1.89,0.0,Pending,0,,0.9007,0.0993,29.46,-31.22,,C,58.8,support,0.5880,C,false,NBA wager: Minnesota Timberwolves @ Detroit Pistons — OVER 224.5 — DraftKings
2026-04-02,Los Angeles Lakers @ Oklahoma City Thunder,SPREAD,Lakers +9.0,9.0,Los Angeles Lakers by 0.3,8.7,Caesars,1.87,1.0,Pending,0,,0.7346,0.2654,-4.66,1.54,,A,91.3,support,0.9125,A,true,NBA wager: Los Angeles Lakers @ Oklahoma City Thunder — Lakers +9.0 — Caesars
2026-04-02,Cleveland Cavaliers @ Golden State Warriors,SPREAD,Warriors +10.0,10.0,Golden State Warriors by 2.1,12.1,LowVig.ag,1.98,0.5,Pending,0,,0.7966,0.2034,58.61,-61.63,,B,68.8,support,0.6879,B,true,NBA wager: Cleveland Cavaliers @ Golden State Warriors — Warriors +10.0 — LowVig.ag
2026-04-02,Cleveland Cavaliers @ Golden State Warriors,TOTAL,OVER 228.0,228.0,243.1,15.1,LowVig.ag,1.93,0.0,Pending,0,,0.7966,0.2034,58.61,-61.63,,C,46.1,support,0.4613,PASS,false,NBA wager: Cleveland Cavaliers @ Golden State Warriors — OVER 228.0 — LowVig.ag
2026-04-02,New Orleans Pelicans @ Portland Trail Blazers,SPREAD,Pelicans +6.5,6.5,New Orleans Pelicans by 2.2,4.3,FanDuel,1.89,0.0,Pending,0,,0.8001,0.1999,9.58,-11.45,,C,59.9,support,0.5988,C,false,NBA wager: New Orleans Pelicans @ Portland Trail Blazers — Pelicans +6.5 — FanDuel
2026-04-02,New Orleans Pelicans @ Portland Trail Blazers,TOTAL,UNDER 232.5,232.5,224.6,7.9,FanDuel,1.88,0.0,Pending,0,,0.8001,0.1999,9.58,-11.45,,C,58.8,support,0.5880,C,false,NBA wager: New Orleans Pelicans @ Portland Trail Blazers — UNDER 232.5 — FanDuel
2026-04-02,San Antonio Spurs @ Los Angeles Clippers,TOTAL,UNDER 230.5,230.5,225.4,5.1,Caesars,1.87,0.0,Pending,0,,0.6647,0.3353,25.14,-28.2,,C,54.4,support,0.5444,PASS,false,NBA wager: San Antonio Spurs @ Los Angeles Clippers — UNDER 230.5 — Caesars
