date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,council_recommendation,council_score,council_grade,publish,reason
2026-04-15,Tyrese Maxey,PTS,29.5,Bovada,23.4,0.89,0.826,94.0,UNDER,Starter,Orlando Magic @ Philadelphia 76ers,2.05,1.0,Pending,0,,A,support,0.9403,A,true,NBA wager: Orlando Magic @ Philadelphia 76ers — Tyrese Maxey UNDER 29.5 PTS — Bovada
2026-04-15,Paolo Banchero,PTS,22.5,BetOnline.ag,17.8,0.72,0.521,94.0,UNDER,Starter,Orlando Magic @ Philadelphia 76ers,2.1,1.0,Pending,0,,A,support,0.9403,A,true,NBA wager: Orlando Magic @ Philadelphia 76ers — Paolo Banchero UNDER 22.5 PTS — BetOnline.ag
2026-04-15,Brandin Podziemski,PTS,13.5,BetOnline.ag,18.9,0.84,0.515,81.0,OVER,Rotation,Golden State Warriors @ Los Angeles Clippers,1.81,1.0,Pending,0,,A,support,0.8098,A,true,NBA wager: Golden State Warriors @ Los Angeles Clippers — Brandin Podziemski OVER 13.5 PTS — BetOnline.ag
2026-04-15,Adem Bona,REB,5.5,BetRivers,3.5,0.8,0.499,75.2,UNDER,Rotation,Orlando Magic @ Philadelphia 76ers,1.88,1.0,Pending,0,,A,support,0.7524,A,true,NBA wager: Orlando Magic @ Philadelphia 76ers — Adem Bona UNDER 5.5 REB — BetRivers
2026-04-15,Anthony Black,PTS,9.5,BetRivers,7.2,0.71,0.498,61.7,UNDER,Rotation,Orlando Magic @ Philadelphia 76ers,2.12,0.0,Pending,0,,C,support,0.6172,C,false,NBA wager: Orlando Magic @ Philadelphia 76ers — Anthony Black UNDER 9.5 PTS — BetRivers
2026-04-15,Brook Lopez,REB,5.5,Bovada,7.0,0.73,0.489,94.2,OVER,Starter,Golden State Warriors @ Los Angeles Clippers,2.05,1.0,Pending,0,,A,support,0.9417,A,true,NBA wager: Golden State Warriors @ Los Angeles Clippers — Brook Lopez OVER 5.5 REB — Bovada
2026-04-15,Gui Santos,AST,2.5,DraftKings,3.7,0.74,0.439,75.5,OVER,Rotation,Golden State Warriors @ Los Angeles Clippers,1.95,1.0,Pending,0,,A,support,0.7550,A,true,NBA wager: Golden State Warriors @ Los Angeles Clippers — Gui Santos OVER 2.5 AST — DraftKings
2026-04-15,De'Anthony Melton,AST,2.5,BetRivers,3.3,0.77,0.388,74.6,OVER,Rotation,Golden State Warriors @ Los Angeles Clippers,1.81,0.5,Pending,0,,B,support,0.7457,B,true,NBA wager: Golden State Warriors @ Los Angeles Clippers — De'Anthony Melton OVER 2.5 AST — BetRivers
2026-04-15,Wendell Carter Jr,AST,1.5,BetRivers,1.1,0.64,0.381,58.3,UNDER,Rotation,Orlando Magic @ Philadelphia 76ers,2.15,0.0,Pending,0,,C,support,0.5830,C,false,NBA wager: Orlando Magic @ Philadelphia 76ers — Wendell Carter Jr UNDER 1.5 AST — BetRivers
2026-04-15,Stephen Curry,REB,3.5,Caesars,2.9,0.65,0.363,54.7,UNDER,Rotation,Golden State Warriors @ Los Angeles Clippers,2.1,0.0,Pending,0,,C,support,0.5466,PASS,false,NBA wager: Golden State Warriors @ Los Angeles Clippers — Stephen Curry UNDER 3.5 REB — Caesars
