date,sport,game,market,pick,line,proj,edge,book,odds,stake,result,profit,grade,publish,reason,commence_time,model_version
2026-05-19,WNBA,Toronto Tempo @ Phoenix Mercury,TOTAL,Under 169.5,169.5,total 163.22,6.28,LowVig.ag,,0.25,Pending,0,WNBA-v0,true,accepted WNBA v0 test pick,2026-05-20T02:00:00Z,wnba-v0-opening-week
2026-05-19,WNBA,Toronto Tempo @ Phoenix Mercury,SPREAD,Toronto Tempo 7.5,7.5,home margin 4.35,3.15,BetMGM,,0.0,Pending,0,WNBA-v0,false,edge<5.0; opening-week expansion-team spread block,2026-05-20T02:00:00Z,wnba-v0-opening-week
