date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,council_recommendation,council_score,council_grade,publish,reason
2026-05-17,Donovan Mitchell,AST,3.5,Bovada,2.5,0.9,0.753,76.0,UNDER,Starter,Cleveland Cavaliers @ Detroit Pistons,1.95,1.0,Pending,0,,A,support,0.7602,A,true,NBA wager: Cleveland Cavaliers @ Detroit Pistons — Donovan Mitchell UNDER 3.5 AST — Bovada
2026-05-17,Daniss Jenkins,AST,3.5,FanDuel,4.3,0.83,0.637,76.0,OVER,Rotation,Cleveland Cavaliers @ Detroit Pistons,1.98,1.0,Pending,0,,A,support,0.7602,A,true,NBA wager: Cleveland Cavaliers @ Detroit Pistons — Daniss Jenkins OVER 3.5 AST — FanDuel
2026-05-17,Max Strus,REB,4.5,FanDuel,6.2,0.81,0.551,76.0,OVER,Starter,Cleveland Cavaliers @ Detroit Pistons,1.91,1.0,Pending,0,,A,support,0.7602,A,true,NBA wager: Cleveland Cavaliers @ Detroit Pistons — Max Strus OVER 4.5 REB — FanDuel
2026-05-17,Cade Cunningham,AST,8.5,BetMGM,6.3,0.81,0.55,76.0,UNDER,Starter,Cleveland Cavaliers @ Detroit Pistons,1.91,1.0,Pending,0,,A,support,0.7602,A,true,NBA wager: Cleveland Cavaliers @ Detroit Pistons — Cade Cunningham UNDER 8.5 AST — BetMGM
2026-05-17,Duncan Robinson,PTS,8.5,BetMGM,11.9,0.78,0.486,76.0,OVER,Starter,Cleveland Cavaliers @ Detroit Pistons,1.91,1.0,Pending,0,,A,support,0.7602,A,true,NBA wager: Cleveland Cavaliers @ Detroit Pistons — Duncan Robinson OVER 8.5 PTS — BetMGM
2026-05-17,Dean Wade,PTS,3.5,BetMGM,5.0,0.67,0.476,43.2,OVER,Rotation,Cleveland Cavaliers @ Detroit Pistons,2.2,0.0,Pending,0,,C,support,0.4321,PASS,false,NBA wager: Cleveland Cavaliers @ Detroit Pistons — Dean Wade OVER 3.5 PTS — BetMGM
2026-05-17,Jalen Duren,PTS,12.5,BetOnline.ag,10.2,0.81,0.439,62.1,UNDER,Starter,Cleveland Cavaliers @ Detroit Pistons,1.77,0.0,Pending,0,,C,support,0.6206,C,false,NBA wager: Cleveland Cavaliers @ Detroit Pistons — Jalen Duren UNDER 12.5 PTS — BetOnline.ag
2026-05-17,Tobias Harris,REB,6.5,Bovada,7.2,0.65,0.406,59.8,OVER,Starter,Cleveland Cavaliers @ Detroit Pistons,2.15,0.0,Pending,0,,C,support,0.5976,C,false,NBA wager: Cleveland Cavaliers @ Detroit Pistons — Tobias Harris OVER 6.5 REB — Bovada
2026-05-17,Ausar Thompson,PTS,8.5,BetMGM,7.2,0.7,0.342,73.1,UNDER,Starter,Cleveland Cavaliers @ Detroit Pistons,1.91,0.5,Pending,0,,B,support,0.7309,B,true,NBA wager: Cleveland Cavaliers @ Detroit Pistons — Ausar Thompson UNDER 8.5 PTS — BetMGM
2026-05-17,Dean Wade,AST,0.5,BetMGM,0.3,0.64,0.216,55.1,UNDER,Rotation,Cleveland Cavaliers @ Detroit Pistons,1.91,0.0,Pending,0,,C,support,0.5514,C,false,NBA wager: Cleveland Cavaliers @ Detroit Pistons — Dean Wade UNDER 0.5 AST — BetMGM
