date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,council_recommendation,council_score,council_grade,publish,reason
2026-04-29,Duncan Robinson,PTS,10.5,BetRivers,14.3,0.78,0.689,43.2,OVER,Starter,Orlando Magic @ Detroit Pistons,2.17,0.0,Pending,0,,C,support,0.4321,PASS,false,NBA wager: Orlando Magic @ Detroit Pistons — Duncan Robinson OVER 10.5 PTS — BetRivers
2026-04-29,Reed Sheppard,PTS,15.5,Bovada,12.5,0.69,0.485,63.0,UNDER,Rotation,Houston Rockets @ Los Angeles Lakers,2.15,0.0,Pending,0,,C,support,0.6304,C,false,NBA wager: Houston Rockets @ Los Angeles Lakers — Reed Sheppard UNDER 15.5 PTS — Bovada
2026-04-29,Marcus Smart,AST,4.5,FanDuel,6.2,0.69,0.459,63.0,OVER,Starter,Houston Rockets @ Los Angeles Lakers,2.12,0.0,Pending,0,,C,support,0.6304,C,false,NBA wager: Houston Rockets @ Los Angeles Lakers — Marcus Smart OVER 4.5 AST — FanDuel
2026-04-29,Jaxson Hayes,PTS,5.5,FanDuel,10.2,0.74,0.433,57.7,OVER,Rotation,Houston Rockets @ Los Angeles Lakers,1.94,0.0,Pending,0,,C,support,0.5771,C,false,NBA wager: Houston Rockets @ Los Angeles Lakers — Jaxson Hayes OVER 5.5 PTS — FanDuel
2026-04-29,Rui Hachimura,PTS,13.5,BetRivers,15.6,0.65,0.422,59.8,OVER,Starter,Houston Rockets @ Los Angeles Lakers,2.2,0.0,Pending,0,,C,support,0.5976,C,false,NBA wager: Houston Rockets @ Los Angeles Lakers — Rui Hachimura OVER 13.5 PTS — BetRivers
2026-04-29,Jalen Duren,REB,10.5,BetMGM,9.0,0.78,0.405,56.1,UNDER,Starter,Orlando Magic @ Detroit Pistons,1.8,0.0,Pending,0,,C,support,0.5612,C,false,NBA wager: Orlando Magic @ Detroit Pistons — Jalen Duren UNDER 10.5 REB — BetMGM
2026-04-29,James Harden,REB,4.5,BetMGM,2.9,0.77,0.39,75.1,UNDER,Starter,Toronto Raptors @ Cleveland Cavaliers,1.8,1.0,Pending,0,,A,support,0.7513,A,true,NBA wager: Toronto Raptors @ Cleveland Cavaliers — James Harden UNDER 4.5 REB — BetMGM
2026-04-29,Evan Mobley,3PTM,0.5,BetOnline.ag,0.3,0.66,0.386,73.4,UNDER,Starter,Toronto Raptors @ Cleveland Cavaliers,2.1,0.5,Pending,0,,B,support,0.7337,B,true,NBA wager: Toronto Raptors @ Cleveland Cavaliers — Evan Mobley UNDER 0.5 3PTM — BetOnline.ag
2026-04-29,Paolo Banchero,AST,4.5,BetRivers,6.3,0.76,0.357,56.1,OVER,Starter,Orlando Magic @ Detroit Pistons,1.78,0.0,Pending,0,,C,support,0.5612,C,false,NBA wager: Orlando Magic @ Detroit Pistons — Paolo Banchero OVER 4.5 AST — BetRivers
2026-04-29,Deandre Ayton,REB,7.5,FanDuel,5.7,0.7,0.351,73.1,UNDER,Rotation,Houston Rockets @ Los Angeles Lakers,1.93,0.5,Pending,0,,B,support,0.7309,B,true,NBA wager: Houston Rockets @ Los Angeles Lakers — Deandre Ayton UNDER 7.5 REB — FanDuel
