date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,council_recommendation,council_score,council_grade,publish,reason
2026-04-04,Stephon Castle,AST,8.5,FanDuel,10.1,0.77,0.656,43.2,OVER,Starter,San Antonio Spurs @ Denver Nuggets,2.16,0.0,Pending,0,,C,support,0.4321,PASS,false,NBA wager: San Antonio Spurs @ Denver Nuggets — Stephon Castle OVER 8.5 AST — FanDuel
2026-04-04,Carlton Carrington,REB,3.5,BetRivers,2.0,0.8,0.603,57.7,UNDER,Rotation,Washington Wizards @ Miami Heat,2.0,0.0,Pending,0,,C,support,0.5771,C,false,NBA wager: Washington Wizards @ Miami Heat — Carlton Carrington UNDER 3.5 REB — BetRivers
2026-04-04,Nikola Jokic,PTS,25.5,Bovada,21.1,0.74,0.518,56.6,UNDER,Starter,San Antonio Spurs @ Denver Nuggets,2.05,0.0,Pending,0,,C,support,0.5660,C,false,NBA wager: San Antonio Spurs @ Denver Nuggets — Nikola Jokic UNDER 25.5 PTS — Bovada
2026-04-04,Paul Reed Jr,PTS,7.5,BetOnline.ag,12.2,0.8,0.488,32.8,OVER,Rotation,Detroit Pistons @ Philadelphia 76ers,1.85,0.0,Pending,0,,C,support,0.3281,PASS,false,NBA wager: Detroit Pistons @ Philadelphia 76ers — Paul Reed Jr OVER 7.5 PTS — BetOnline.ag
2026-04-04,Bruce Brown,PTS,7.5,BetRivers,10.0,0.72,0.464,57.7,OVER,Rotation,San Antonio Spurs @ Denver Nuggets,2.02,0.0,Pending,0,,C,support,0.5771,C,false,NBA wager: San Antonio Spurs @ Denver Nuggets — Bruce Brown OVER 7.5 PTS — BetRivers
2026-04-04,Harrison Barnes,PTS,6.5,BetOnline.ag,9.0,0.69,0.451,57.7,OVER,Rotation,San Antonio Spurs @ Denver Nuggets,2.09,0.0,Pending,0,,C,support,0.5771,C,false,NBA wager: San Antonio Spurs @ Denver Nuggets — Harrison Barnes OVER 6.5 PTS — BetOnline.ag
2026-04-04,Daniss Jenkins,3PTM,1.5,FanDuel,2.2,0.71,0.413,53.5,OVER,Starter,Detroit Pistons @ Philadelphia 76ers,2.0,0.0,Pending,0,,C,support,0.5350,PASS,false,NBA wager: Detroit Pistons @ Philadelphia 76ers — Daniss Jenkins OVER 1.5 3PTM — FanDuel
2026-04-04,Devin Vassell,AST,2.5,BetOnline.ag,3.1,0.71,0.371,55.1,OVER,Starter,San Antonio Spurs @ Denver Nuggets,1.94,0.0,Pending,0,,C,support,0.5514,C,false,NBA wager: San Antonio Spurs @ Denver Nuggets — Devin Vassell OVER 2.5 AST — BetOnline.ag
2026-04-04,Kel'el Ware,REB,7.5,FanDuel,5.4,0.74,0.37,57.7,UNDER,Rotation,Washington Wizards @ Miami Heat,1.85,0.0,Pending,0,,C,support,0.5771,C,false,NBA wager: Washington Wizards @ Miami Heat — Kel'el Ware UNDER 7.5 REB — FanDuel
2026-04-04,Stephon Castle,REB,4.5,Caesars,6.9,0.77,0.368,56.1,OVER,Starter,San Antonio Spurs @ Denver Nuggets,1.77,0.0,Pending,0,,C,support,0.5612,C,false,NBA wager: San Antonio Spurs @ Denver Nuggets — Stephon Castle OVER 4.5 REB — Caesars
