date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,council_recommendation,council_score,council_grade,publish,reason
2026-04-25,Bruce Brown,PTS,6.5,Bovada,9.3,0.8,0.765,43.2,OVER,Rotation,Denver Nuggets @ Minnesota Timberwolves,2.2,0.0,Pending,0,,C,support,0.4321,PASS,false,NBA wager: Denver Nuggets @ Minnesota Timberwolves — Bruce Brown OVER 6.5 PTS — Bovada
2026-04-25,Jaden McDaniels,PTS,16.5,BetRivers,19.3,0.81,0.675,56.6,OVER,Starter,Denver Nuggets @ Minnesota Timberwolves,2.06,0.0,Pending,0,,C,support,0.5660,C,false,NBA wager: Denver Nuggets @ Minnesota Timberwolves — Jaden McDaniels OVER 16.5 PTS — BetRivers
2026-04-25,Ajay Mitchell,PTS,13.5,DraftKings,10.4,0.84,0.643,56.6,UNDER,Rotation,Oklahoma City Thunder @ Phoenix Suns,1.96,0.0,Pending,0,,C,support,0.5660,C,false,NBA wager: Oklahoma City Thunder @ Phoenix Suns — Ajay Mitchell UNDER 13.5 PTS — DraftKings
2026-04-25,Duncan Robinson,3PTM,2.5,FanDuel,3.2,0.72,0.63,43.2,OVER,Rotation,Detroit Pistons @ Orlando Magic,2.26,0.0,Pending,0,,C,support,0.4321,PASS,false,NBA wager: Detroit Pistons @ Orlando Magic — Duncan Robinson OVER 2.5 3PTM — FanDuel
2026-04-25,Duncan Robinson,PTS,10.5,Bovada,14.1,0.79,0.613,57.7,OVER,Rotation,Detroit Pistons @ Orlando Magic,2.05,0.0,Pending,0,,C,support,0.5771,C,false,NBA wager: Detroit Pistons @ Orlando Magic — Duncan Robinson OVER 10.5 PTS — Bovada
2026-04-25,Aaron Gordon,AST,2.5,FanDuel,3.4,0.75,0.571,58.1,OVER,Starter,Denver Nuggets @ Minnesota Timberwolves,2.1,0.0,Pending,0,,C,support,0.5815,C,false,NBA wager: Denver Nuggets @ Minnesota Timberwolves — Aaron Gordon OVER 2.5 AST — FanDuel
2026-04-25,Anthony Black,REB,2.5,DraftKings,4.7,0.88,0.549,56.6,OVER,Rotation,Detroit Pistons @ Orlando Magic,1.77,0.0,Pending,0,,C,support,0.5660,C,false,NBA wager: Detroit Pistons @ Orlando Magic — Anthony Black OVER 2.5 REB — DraftKings
2026-04-25,Luguentz Dort,REB,3.5,FanDuel,2.0,0.9,0.546,56.1,UNDER,Rotation,Oklahoma City Thunder @ Phoenix Suns,1.72,0.0,Pending,0,,C,support,0.5612,C,false,NBA wager: Oklahoma City Thunder @ Phoenix Suns — Luguentz Dort UNDER 3.5 REB — FanDuel
2026-04-25,Tristan da Silva,REB,2.5,BetOnline.ag,3.3,0.73,0.484,58.1,OVER,Rotation,Detroit Pistons @ Orlando Magic,2.02,0.0,Pending,0,,C,support,0.5815,C,false,NBA wager: Detroit Pistons @ Orlando Magic — Tristan da Silva OVER 2.5 REB — BetOnline.ag
2026-04-25,Mikal Bridges,REB,2.5,BetRivers,1.9,0.67,0.472,63.5,UNDER,Starter,New York Knicks @ Atlanta Hawks,2.2,0.0,Pending,0,,C,support,0.6345,C,false,NBA wager: New York Knicks @ Atlanta Hawks — Mikal Bridges UNDER 2.5 REB — BetRivers
