date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,council_recommendation,council_score,council_grade,publish,reason
2026-04-22,Devin Booker,PTS,23.5,FanDuel,29.9,0.85,0.69,74.6,OVER,Starter,Phoenix Suns @ Oklahoma City Thunder,2.0,0.5,Pending,0,,B,support,0.7457,B,true,NBA wager: Phoenix Suns @ Oklahoma City Thunder — Devin Booker OVER 23.5 PTS — FanDuel
2026-04-22,Kevin Huerter,PTS,5.5,BetRivers,9.8,0.77,0.637,61.7,OVER,Rotation,Orlando Magic @ Detroit Pistons,2.12,0.0,Pending,0,,C,support,0.6172,C,false,NBA wager: Orlando Magic @ Detroit Pistons — Kevin Huerter OVER 5.5 PTS — BetRivers
2026-04-22,Anthony Black,REB,2.5,BetMGM,4.3,0.81,0.573,75.5,OVER,Rotation,Orlando Magic @ Detroit Pistons,1.95,1.0,Pending,0,,A,support,0.7550,A,true,NBA wager: Orlando Magic @ Detroit Pistons — Anthony Black OVER 2.5 REB — BetMGM
2026-04-22,Daniss Jenkins,AST,2.5,DraftKings,5.0,0.78,0.538,75.5,OVER,Rotation,Orlando Magic @ Detroit Pistons,1.96,1.0,Pending,0,,A,support,0.7550,A,true,NBA wager: Orlando Magic @ Detroit Pistons — Daniss Jenkins OVER 2.5 AST — DraftKings
2026-04-22,Isaiah Joe,PTS,6.5,BetOnline.ag,12.4,0.8,0.534,75.2,OVER,Rotation,Phoenix Suns @ Oklahoma City Thunder,1.91,1.0,Pending,0,,A,support,0.7524,A,true,NBA wager: Phoenix Suns @ Oklahoma City Thunder — Isaiah Joe OVER 6.5 PTS — BetOnline.ag
2026-04-22,Cade Cunningham,PTS,27.5,BetRivers,19.6,0.75,0.523,74.6,UNDER,Starter,Orlando Magic @ Detroit Pistons,2.02,0.5,Pending,0,,B,support,0.7457,B,true,NBA wager: Orlando Magic @ Detroit Pistons — Cade Cunningham UNDER 27.5 PTS — BetRivers
2026-04-22,Devin Booker,AST,5.5,FanDuel,6.4,0.65,0.489,61.7,OVER,Starter,Phoenix Suns @ Oklahoma City Thunder,2.28,0.0,Pending,0,,C,support,0.6172,C,false,NBA wager: Phoenix Suns @ Oklahoma City Thunder — Devin Booker OVER 5.5 AST — FanDuel
2026-04-22,Ajay Mitchell,AST,2.5,BetMGM,3.5,0.72,0.481,75.5,OVER,Rotation,Phoenix Suns @ Oklahoma City Thunder,2.05,1.0,Pending,0,,A,support,0.7550,A,true,NBA wager: Phoenix Suns @ Oklahoma City Thunder — Ajay Mitchell OVER 2.5 AST — BetMGM
2026-04-22,Duncan Robinson,3PTM,2.5,Bovada,3.2,0.71,0.464,75.5,OVER,Rotation,Orlando Magic @ Detroit Pistons,2.05,1.0,Pending,0,,A,support,0.7550,A,true,NBA wager: Orlando Magic @ Detroit Pistons — Duncan Robinson OVER 2.5 3PTM — Bovada
2026-04-22,Paolo Banchero,AST,4.5,BetMGM,5.7,0.69,0.373,72.2,OVER,Starter,Orlando Magic @ Detroit Pistons,2.0,0.5,Pending,0,,B,support,0.7220,B,true,NBA wager: Orlando Magic @ Detroit Pistons — Paolo Banchero OVER 4.5 AST — BetMGM
