date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,line_movement_flag,sharp_flag,divergence_flag,conflict_flag
2026-03-24,Max Strus,REB,4.5,FanDuel,6.4,0.97,1.084,55.7,OVER,Rotation,Orlando Magic @ Cleveland Cavaliers,2.14,1.0,Pending,0,,A,,,,
2026-03-24,Mikal Bridges,PTS,12.5,BetMGM,8.9,0.79,0.54,21.7,UNDER,Starter,New Orleans Pelicans @ New York Knicks,1.95,0.5,Pending,0,,B,,,,
2026-03-24,Wendell Carter Jr,PTS,11.5,Bovada,13.7,0.74,0.521,25.4,OVER,Starter,Orlando Magic @ Cleveland Cavaliers,2.05,0.5,Pending,0,,B,,,,
2026-03-24,Jalen Brunson,3PTM,2.5,BetMGM,1.9,0.72,0.513,26.4,UNDER,Starter,New Orleans Pelicans @ New York Knicks,2.1,0.5,Pending,0,,B,,,,
2026-03-24,Mikal Bridges,3PTM,1.5,BetMGM,1.1,0.74,0.484,18.2,UNDER,Starter,New Orleans Pelicans @ New York Knicks,2.0,0.0,Pending,0,,C,,,,
2026-03-24,Aaron Gordon,AST,2.5,Bovada,3.2,0.71,0.481,17.9,OVER,Rotation,Denver Nuggets @ Phoenix Suns,2.1,0.0,Pending,0,,C,,,,
2026-03-24,James Harden,REB,4.5,DraftKings,6.0,0.85,0.464,31.9,OVER,Starter,Orlando Magic @ Cleveland Cavaliers,1.72,0.5,Pending,0,,B,,,,
2026-03-24,Goga Bitadze,REB,5.5,Caesars,6.7,0.68,0.454,26.3,OVER,Rotation,Orlando Magic @ Cleveland Cavaliers,2.13,0.0,Pending,0,,C,,,,
2026-03-24,Trey Murphy III,REB,4.5,DraftKings,6.1,0.83,0.453,30.9,OVER,Starter,New Orleans Pelicans @ New York Knicks,1.75,0.5,Pending,0,,B,,,,
2026-03-24,Moussa Diabate,PTS,8.5,FanDuel,6.0,0.79,0.453,18.5,UNDER,Starter,Sacramento Kings @ Charlotte Hornets,1.85,0.0,Pending,0,,C,,,,
