date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,council_recommendation,council_score,council_grade,publish,reason
2026-04-21,Kevin Durant,AST,4.5,FanDuel,7.0,0.89,0.911,63.0,OVER,Starter,Houston Rockets @ Los Angeles Lakers,2.14,0.0,Pending,0,,C,support,0.6304,C,false,NBA wager: Houston Rockets @ Los Angeles Lakers — Kevin Durant OVER 4.5 AST — FanDuel
2026-04-21,Derrick White,PTS,13.5,FanDuel,9.9,0.88,0.75,75.4,UNDER,Starter,Philadelphia 76ers @ Boston Celtics,1.98,1.0,Pending,0,,A,support,0.7540,A,true,NBA wager: Philadelphia 76ers @ Boston Celtics — Derrick White UNDER 13.5 PTS — FanDuel
2026-04-21,Jabari Smith Jr,PTS,14.5,FanDuel,18.5,0.89,0.703,56.6,OVER,Starter,Houston Rockets @ Los Angeles Lakers,1.91,0.0,Pending,0,,C,support,0.5660,C,false,NBA wager: Houston Rockets @ Los Angeles Lakers — Jabari Smith Jr OVER 14.5 PTS — FanDuel
2026-04-21,Dylan Harper,PTS,9.5,Bovada,12.9,0.83,0.695,57.7,OVER,Rotation,Portland Trail Blazers @ San Antonio Spurs,2.05,0.0,Pending,0,,C,support,0.5771,C,false,NBA wager: Portland Trail Blazers @ San Antonio Spurs — Dylan Harper OVER 9.5 PTS — Bovada
2026-04-21,Robert Williams,REB,5.5,BetOnline.ag,7.6,0.86,0.609,57.7,OVER,Rotation,Portland Trail Blazers @ San Antonio Spurs,1.86,0.0,Pending,0,,C,support,0.5771,C,false,NBA wager: Portland Trail Blazers @ San Antonio Spurs — Robert Williams OVER 5.5 REB — BetOnline.ag
2026-04-21,Payton Pritchard,PTS,14.5,Bovada,20.4,0.78,0.591,75.4,OVER,Starter,Philadelphia 76ers @ Boston Celtics,2.05,1.0,Pending,0,,A,support,0.7540,A,true,NBA wager: Philadelphia 76ers @ Boston Celtics — Payton Pritchard OVER 14.5 PTS — Bovada
2026-04-21,Devin Vassell,REB,3.5,BetRivers,5.1,0.73,0.562,43.2,OVER,Starter,Portland Trail Blazers @ San Antonio Spurs,2.14,0.0,Pending,0,,C,support,0.4321,PASS,false,NBA wager: Portland Trail Blazers @ San Antonio Spurs — Devin Vassell OVER 3.5 REB — BetRivers
2026-04-21,Quentin Grimes,REB,2.5,BetMGM,3.6,0.86,0.556,56.6,OVER,Rotation,Philadelphia 76ers @ Boston Celtics,1.8,0.0,Pending,0,,C,support,0.5660,C,false,NBA wager: Philadelphia 76ers @ Boston Celtics — Quentin Grimes OVER 2.5 REB — BetMGM
2026-04-21,Paul George,REB,5.5,BetMGM,4.7,0.9,0.542,75.1,UNDER,Starter,Philadelphia 76ers @ Boston Celtics,1.71,1.0,Pending,0,,A,support,0.7513,A,true,NBA wager: Philadelphia 76ers @ Boston Celtics — Paul George UNDER 5.5 REB — BetMGM
2026-04-21,Stephon Castle,AST,7.5,Caesars,9.1,0.75,0.538,57.7,OVER,Starter,Portland Trail Blazers @ San Antonio Spurs,2.06,0.0,Pending,0,,C,support,0.5771,C,false,NBA wager: Portland Trail Blazers @ San Antonio Spurs — Stephon Castle OVER 7.5 AST — Caesars
