date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,line_movement_flag,sharp_flag,divergence_flag,conflict_flag
2026-03-25,Max Strus,REB,4.5,BetOnline.ag,6.5,0.91,0.881,42.6,OVER,Rotation,Miami Heat @ Cleveland Cavaliers,2.07,0.5,Void,0,,B,,,,
2026-03-25,Josh Minott,REB,4.5,BetMGM,2.8,0.85,0.875,33.8,UNDER,Rotation,Brooklyn Nets @ Golden State Warriors,2.2,0.0,Pending,0,,C,,,,
2026-03-25,Joel Embiid,PTS,23.5,BetRivers,30.1,0.9,0.862,41.4,OVER,Starter,Chicago Bulls @ Philadelphia 76ers,2.08,0.5,Win,0.54,,B,,,,
2026-03-25,Peyton Watson,PTS,10.5,BetRivers,17.5,0.82,0.766,40.5,OVER,Starter,Dallas Mavericks @ Denver Nuggets,2.16,0.5,Pending,0,,B,,,,
2026-03-25,Kyle Kuzma,REB,3.5,FanDuel,2.5,0.79,0.746,35.6,UNDER,Rotation,Milwaukee Bucks @ Portland Trail Blazers,2.22,0.5,Pending,0,,B,,,,
2026-03-25,Kristaps Porzingis,REB,5.5,BetRivers,3.5,0.85,0.647,35.5,UNDER,Rotation,Brooklyn Nets @ Golden State Warriors,1.93,0.5,Pending,0,,B,,,,
2026-03-25,Daniel Gafford,PTS,11.5,BetRivers,15.7,0.75,0.618,33.6,OVER,Rotation,Dallas Mavericks @ Denver Nuggets,2.16,0.5,Pending,0,,B,,,,
2026-03-25,Jalen Wilson,3PTM,1.5,BetRivers,2.3,0.73,0.601,27.3,OVER,Rotation,Brooklyn Nets @ Golden State Warriors,2.2,0.0,Pending,0,,C,,,,
2026-03-25,G.G. Jackson,3PTM,1.5,DraftKings,1.0,0.85,0.591,31.4,UNDER,Rotation,San Antonio Spurs @ Memphis Grizzlies,1.88,0.5,Loss,-0.5,,B,,,,
2026-03-25,Andrew Wiggins,3PTM,1.5,BetRivers,2.5,0.74,0.57,31.9,OVER,Rotation,Miami Heat @ Cleveland Cavaliers,2.12,0.5,Win,0.56,,B,,,,
