date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate,grade,edge_pct,council_recommendation,council_score,council_grade,publish,reason
2026-05-08,New York Knicks @ Philadelphia 76ers,SPREAD,Knicks +1.5,1.5,New York Knicks by 1.8,3.3,BetUS,1.91,0.0,Win,0.0,,0.6483,0.3517,10.78,-12.45,,C,43.4,support,0.4344,PASS,false,NBA wager: New York Knicks @ Philadelphia 76ers — Knicks +1.5 — BetUS
2026-05-08,New York Knicks @ Philadelphia 76ers,TOTAL,UNDER 214.5,214.5,210.5,4.0,BetUS,1.91,0.0,Win,0.0,,0.6483,0.3517,10.78,-12.45,,C,41.3,support,0.4134,PASS,false,NBA wager: New York Knicks @ Philadelphia 76ers — UNDER 214.5 — BetUS
2026-05-08,San Antonio Spurs @ Minnesota Timberwolves,SPREAD,Timberwolves +5.0,5.0,Minnesota Timberwolves by 1.8,3.2,BetUS,1.91,0.0,Loss,-0.0,,0.6481,0.3519,29.1,-31.03,,C,42.8,support,0.4284,PASS,false,NBA wager: San Antonio Spurs @ Minnesota Timberwolves — Timberwolves +5.0 — BetUS
2026-05-08,San Antonio Spurs @ Minnesota Timberwolves,TOTAL,OVER 216.5,216.5,230.6,14.1,BetUS,1.91,0.0,Win,0.0,,0.6481,0.3519,29.1,-31.03,,C,53.5,support,0.5345,PASS,false,NBA wager: San Antonio Spurs @ Minnesota Timberwolves — OVER 216.5 — BetUS
