date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate,grade,edge_pct,council_recommendation,council_score,council_grade,publish,reason
2026-04-24,Boston Celtics @ Philadelphia 76ers,TOTAL,OVER 215.5,215.5,221.1,5.6,Caesars,1.91,0.0,Loss,-0.0,,0.4995,0.5005,22.17,-24.57,,C,58.8,support,0.5880,C,false,NBA wager: Boston Celtics @ Philadelphia 76ers — OVER 215.5 — Caesars
2026-04-24,Los Angeles Lakers @ Houston Rockets,MONEYLINE,Houston Rockets ML,,84.1% win prob,7.8,BetMGM,1.31,0.0,Loss,-0.0,,0.8411,0.1589,7.77,-10.43,Houston Rockets ML,C,45.7,support,0.4571,PASS,false,NBA wager: Los Angeles Lakers @ Houston Rockets — Houston Rockets ML — BetMGM
2026-04-24,Los Angeles Lakers @ Houston Rockets,SPREAD,Lakers +8.5,8.5,Los Angeles Lakers by 3.5,5.0,BetOnline.ag,1.95,0.0,Win,0.0,,0.8411,0.1589,7.77,-10.43,Houston Rockets ML,C,59.9,support,0.5988,C,false,NBA wager: Los Angeles Lakers @ Houston Rockets — Lakers +8.5 — BetOnline.ag
2026-04-24,Los Angeles Lakers @ Houston Rockets,TOTAL,OVER 207.0,207.0,214.6,7.6,BetOnline.ag,1.87,0.0,Win,0.0,,0.8411,0.1589,7.77,-10.43,Houston Rockets ML,C,58.8,support,0.5880,C,false,NBA wager: Los Angeles Lakers @ Houston Rockets — OVER 207.0 — BetOnline.ag
2026-04-24,San Antonio Spurs @ Portland Trail Blazers,SPREAD,Spurs -2.5,-2.5,San Antonio Spurs by 6.2,3.7,Caesars,1.91,0.0,Win,0.0,,0.4418,0.5582,-0.87,-0.68,,C,60.3,support,0.6032,C,false,NBA wager: San Antonio Spurs @ Portland Trail Blazers — Spurs -2.5 — Caesars
2026-04-24,San Antonio Spurs @ Portland Trail Blazers,TOTAL,OVER 219.0,219.0,222.9,3.9,Caesars,1.95,0.0,Win,0.0,,0.4418,0.5582,-0.87,-0.68,,C,39.3,support,0.3934,PASS,false,NBA wager: San Antonio Spurs @ Portland Trail Blazers — OVER 219.0 — Caesars
