date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,line_movement_flag,sharp_flag,divergence_flag,conflict_flag
2026-03-30,Austin Reaves,PTS,28.5,BetRivers,21.5,0.88,0.912,43.8,UNDER,Starter,Washington Wizards @ Los Angeles Lakers,2.18,0.5,Win,0.59,,B,,,,
2026-03-30,Luke Kennard,PTS,10.5,BetRivers,5.3,0.88,0.78,32.6,UNDER,Rotation,Washington Wizards @ Los Angeles Lakers,2.02,0.5,Loss,-0.5,,B,,,,
2026-03-30,Rui Hachimura,PTS,12.5,DraftKings,7.8,0.9,0.773,41.1,UNDER,Rotation,Washington Wizards @ Los Angeles Lakers,1.98,0.5,Loss,-0.5,,B,,,,
2026-03-30,Dennis Schroder,PTS,9.5,DraftKings,5.3,0.9,0.769,33.2,UNDER,Rotation,Cleveland Cavaliers @ Utah Jazz,1.96,0.5,Win,0.48,,B,,,,
2026-03-30,Jaylen Brown,AST,5.5,DraftKings,7.0,0.81,0.629,26.3,OVER,Starter,Boston Celtics @ Atlanta Hawks,2.01,0.0,Win,0.0,,C,,,,
2026-03-30,Austin Reaves,AST,6.5,BetRivers,5.5,0.76,0.607,30.7,UNDER,Starter,Washington Wizards @ Los Angeles Lakers,2.12,0.5,Loss,-0.5,,B,,,,
2026-03-30,Zaccharie Risacher,REB,2.5,BetOnline.ag,4.1,0.74,0.604,22.8,OVER,Rotation,Boston Celtics @ Atlanta Hawks,2.17,0.0,Loss,-0.0,,C,,,,
2026-03-30,Dominick Barlow,REB,3.5,BetRivers,5.3,0.77,0.579,33.2,OVER,Rotation,Philadelphia 76ers @ Miami Heat,2.05,0.5,Win,0.52,,B,,,,
2026-03-30,Daniss Jenkins,AST,6.5,Bovada,7.6,0.68,0.536,18.8,OVER,Starter,Detroit Pistons @ Oklahoma City Thunder,2.25,0.0,Loss,-0.0,,C,,,,
2026-03-30,Sam Merrill,AST,2.5,DraftKings,3.2,0.72,0.527,19.9,OVER,Starter,Cleveland Cavaliers @ Utah Jazz,2.12,0.0,Win,0.0,,C,,,,
