date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,line_movement_flag,sharp_flag,divergence_flag,conflict_flag
2026-04-08,De'Aaron Fox,PTS,20.5,Bovada,16.1,0.81,0.622,25.1,UNDER,Starter,Portland Trail Blazers @ San Antonio Spurs,2.0,0.0,Loss,-0.0,,C,,,,
2026-04-08,Ayo Dosunmu,REB,4.5,Bovada,7.2,0.78,0.598,29.2,OVER,Starter,Minnesota Timberwolves @ Orlando Magic,2.05,0.5,Void,0,,B,,,,
2026-04-08,Max Strus,REB,4.5,DraftKings,6.6,0.86,0.556,35.7,OVER,Rotation,Atlanta Hawks @ Cleveland Cavaliers,1.81,0.5,Loss,-0.5,,B,,,,
2026-04-08,Sam Merrill,PTS,10.5,Bovada,13.4,0.7,0.504,28.5,OVER,Starter,Atlanta Hawks @ Cleveland Cavaliers,2.15,0.5,Loss,-0.5,,B,,,,
2026-04-08,Dylan Harper,AST,5.5,Caesars,4.2,0.82,0.493,20.9,UNDER,Rotation,Portland Trail Blazers @ San Antonio Spurs,1.83,0.0,Win,0.0,,C,,,,
2026-04-08,Tobias Harris,AST,2.5,BetOnline.ag,4.3,0.83,0.492,22.5,OVER,Rotation,Milwaukee Bucks @ Detroit Pistons,1.79,0.0,Win,0.0,,C,,,,
2026-04-08,Jalen Duren,PTS,18.5,BetOnline.ag,23.6,0.78,0.491,30.8,OVER,Starter,Milwaukee Bucks @ Detroit Pistons,1.9,0.5,Win,0.45,,B,,,,
2026-04-08,Dillon Brooks,REB,3.5,BetOnline.ag,4.8,0.8,0.489,31.3,OVER,Starter,Dallas Mavericks @ Phoenix Suns,1.86,0.5,Win,0.43,,B,,,,
2026-04-08,Cameron Johnson,PTS,12.5,Bovada,15.4,0.71,0.485,28.1,OVER,Starter,Memphis Grizzlies @ Denver Nuggets,2.1,0.5,Win,0.55,,B,,,,
2026-04-08,Robert Williams,REB,6.5,DraftKings,8.9,0.8,0.477,25.8,OVER,Rotation,Portland Trail Blazers @ San Antonio Spurs,1.85,0.0,Win,0.0,,C,,,,
