date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,line_movement_flag,sharp_flag,divergence_flag,conflict_flag
2026-03-20,Jaylen Brown,AST,5.5,FanDuel,7.7,0.89,0.986,49.4,OVER,Starter,Boston Celtics @ Memphis Grizzlies,2.22,1.0,Win,1.22,,A,,,,
2026-03-20,Tari Eason,PTS,10.5,BetMGM,6.2,0.92,0.755,33.7,UNDER,Rotation,Atlanta Hawks @ Houston Rockets,1.9,0.5,Win,0.45,,B,,,,
2026-03-20,Deni Avdija,3PTM,1.5,BetMGM,0.8,0.78,0.745,27.1,UNDER,Starter,Portland Trail Blazers @ Minnesota Timberwolves,2.25,0.0,Loss,-0.0,,C,,,,
2026-03-20,Onyeka Okongwu,REB,6.5,DraftKings,9.0,0.88,0.695,31.2,OVER,Starter,Atlanta Hawks @ Houston Rockets,1.92,0.5,Win,0.46,,B,,,,
2026-03-20,Daniss Jenkins,PTS,12.5,Bovada,8.2,0.81,0.694,35.1,UNDER,Rotation,Golden State Warriors @ Detroit Pistons,2.1,0.5,Loss,-0.5,,B,,,,
2026-03-20,Jaylen Wells,PTS,12.5,Bovada,16.4,0.76,0.604,23.8,OVER,Rotation,Boston Celtics @ Memphis Grizzlies,2.1,0.0,Loss,-0.0,,C,,,,
2026-03-20,Dyson Daniels,REB,6.5,Bovada,8.1,0.74,0.598,32.8,OVER,Starter,Atlanta Hawks @ Houston Rockets,2.15,0.5,Loss,-0.5,,B,,,,
2026-03-20,Jaden McDaniels,PTS,15.5,DraftKings,10.6,0.78,0.533,29.2,UNDER,Rotation,Portland Trail Blazers @ Minnesota Timberwolves,1.96,0.5,Loss,-0.5,,B,,,,
2026-03-20,Christian Braun,AST,2.5,BetOnline.ag,3.6,0.85,0.5,33.3,OVER,Starter,Toronto Raptors @ Denver Nuggets,1.77,0.5,Loss,-0.5,,B,,,,
2026-03-20,Caris LeVert,AST,3.5,DraftKings,2.0,0.82,0.496,21.1,UNDER,Rotation,Golden State Warriors @ Detroit Pistons,1.83,0.0,Loss,-0.0,,C,,,,
