date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury
2026-05-09,Tobias Harris,PTS,18.5,BetRivers,22.8,0.86,0.77,37.6,OVER,Starter,Detroit Pistons @ Cleveland Cavaliers,2.05,0.25,Pending,0,
2026-05-09,Tobias Harris,REB,6.5,BetRivers,7.7,0.71,0.552,25.3,OVER,Starter,Detroit Pistons @ Cleveland Cavaliers,2.18,0.25,Pending,0,
2026-05-09,Max Strus,REB,3.5,DraftKings,5.5,0.87,0.515,29.4,OVER,Rotation,Detroit Pistons @ Cleveland Cavaliers,1.75,0.25,Pending,0,
2026-05-09,Jaylin Williams,AST,1.5,BetOnline.ag,2.0,0.71,0.497,23.7,OVER,Rotation,Oklahoma City Thunder @ Los Angeles Lakers,2.1,0.25,Pending,0,
2026-05-09,Rui Hachimura,PTS,13.5,DraftKings,16.1,0.74,0.47,23.7,OVER,Starter,Oklahoma City Thunder @ Los Angeles Lakers,1.98,0.25,Pending,0,
2026-05-09,Cason Wallace,REB,2.5,FanDuel,3.8,0.78,0.458,24.4,OVER,Rotation,Oklahoma City Thunder @ Los Angeles Lakers,1.88,0.25,Pending,0,
2026-05-09,Marcus Smart,REB,3.5,Bovada,4.1,0.63,0.449,19.5,OVER,Starter,Oklahoma City Thunder @ Los Angeles Lakers,2.3,0.25,Pending,0,
2026-05-09,Donovan Mitchell,AST,3.5,FanDuel,3.2,0.62,0.411,18.0,UNDER,Starter,Detroit Pistons @ Cleveland Cavaliers,2.28,0.25,Pending,0,
2026-05-09,Chet Holmgren,PTS,16.5,BetRivers,20.3,0.7,0.36,18.5,OVER,Starter,Oklahoma City Thunder @ Los Angeles Lakers,1.94,0.25,Pending,0,
2026-05-09,LeBron James,PTS,22.5,BetRivers,24.4,0.62,0.356,16.3,OVER,Starter,Oklahoma City Thunder @ Los Angeles Lakers,2.18,0.25,Pending,0,
