date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes
2026-03-14,Brooklyn Nets @ Philadelphia 76ers,SPREAD,76ers -8.5,-8.5,Philadelphia 76ers -13.6,5.1,BetUS,1.91,0.5,Pending,0,
2026-03-14,Brooklyn Nets @ Philadelphia 76ers,TOTAL,OVER 217.5,217.5,232.8,15.3,BetUS,1.91,1.0,Pending,0,
2026-03-14,Milwaukee Bucks @ Atlanta Hawks,SPREAD,Bucks +9.5,9.5,Milwaukee Bucks -1.7,7.8,Fanatics,1.91,0.5,Pending,0,
2026-03-14,Milwaukee Bucks @ Atlanta Hawks,TOTAL,UNDER 228.0,228.0,221.2,6.8,Fanatics,1.91,0.5,Pending,0,
2026-03-14,Charlotte Hornets @ San Antonio Spurs,SPREAD,Spurs -4.5,-4.5,San Antonio Spurs -14.6,10.1,Bovada,1.91,1.0,Pending,0,
2026-03-14,Charlotte Hornets @ San Antonio Spurs,TOTAL,OVER 229.0,229.0,232.8,3.8,Bovada,1.91,0.0,Pending,0,
2026-03-14,Washington Wizards @ Boston Celtics,SPREAD,Wizards +20.0,20.0,Washington Wizards -14.8,5.2,Bovada,1.91,0.5,Pending,0,
2026-03-14,Washington Wizards @ Boston Celtics,TOTAL,UNDER 230.5,230.5,218.2,12.3,Bovada,1.91,1.0,Pending,0,
2026-03-14,Denver Nuggets @ Los Angeles Lakers,TOTAL,UNDER 245.5,245.5,224.4,21.1,Caesars,1.91,1.0,Pending,0,
2026-03-14,Orlando Magic @ Miami Heat,TOTAL,UNDER 236.0,236.0,226.3,9.7,Caesars,1.91,0.5,Pending,0,
