date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury
2026-04-30,Mike Conley,AST,3.5,FanDuel,2.2,0.81,0.77,35.3,UNDER,Rotation,Denver Nuggets @ Minnesota Timberwolves,2.18,0.25,Pending,0,
2026-04-30,Nikola Jokic,3PTM,1.5,BetMGM,0.9,0.8,0.649,31.6,UNDER,Starter,Denver Nuggets @ Minnesota Timberwolves,2.05,0.25,Pending,0,
2026-04-30,Tyrese Maxey,AST,6.5,BetOnline.ag,5.3,0.71,0.569,25.8,UNDER,Starter,Boston Celtics @ Philadelphia 76ers,2.2,0.25,Pending,0,
2026-04-30,Quentin Grimes,REB,2.5,BetRivers,2.9,0.7,0.559,25.1,OVER,Rotation,Boston Celtics @ Philadelphia 76ers,2.23,0.25,Pending,0,
2026-04-30,Jayson Tatum,PTS,25.5,BetMGM,23.1,0.81,0.524,28.0,UNDER,Starter,Boston Celtics @ Philadelphia 76ers,1.87,0.25,Pending,0,
2026-04-30,Kelly Oubre Jr,REB,4.5,Bovada,6.0,0.83,0.512,28.0,OVER,Starter,Boston Celtics @ Philadelphia 76ers,1.83,0.25,Pending,0,
2026-04-30,Bruce Brown,PTS,6.5,FanDuel,8.4,0.74,0.447,22.8,OVER,Rotation,Denver Nuggets @ Minnesota Timberwolves,1.96,0.25,Pending,0,
2026-04-30,Joel Embiid,PTS,27.5,BetMGM,31.1,0.76,0.421,22.5,OVER,Starter,Boston Celtics @ Philadelphia 76ers,1.87,0.25,Pending,0,
2026-04-30,Neemias Queta,PTS,8.5,DraftKings,10.6,0.69,0.414,20.1,OVER,Rotation,Boston Celtics @ Philadelphia 76ers,2.06,0.25,Pending,0,
2026-04-30,Jonathan Kuminga,REB,4.5,FanDuel,3.4,0.73,0.38,20.2,UNDER,Rotation,New York Knicks @ Atlanta Hawks,1.88,0.25,Pending,0,
