date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury
2026-05-05,Luke Kennard,AST,2.5,FanDuel,4.5,0.76,0.708,31.6,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,2.24,0.25,Pending,0,
2026-05-05,Rui Hachimura,PTS,12.5,BetRivers,16.1,0.8,0.582,29.6,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,1.97,0.25,Pending,0,
2026-05-05,LeBron James,PTS,20.5,Bovada,25.3,0.77,0.545,27.2,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,2.0,0.25,Pending,0,
2026-05-05,LeBron James,AST,7.5,FanDuel,10.1,0.8,0.537,27.8,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,1.93,0.25,Pending,0,
2026-05-05,James Harden,PTS,19.5,Bovada,22.3,0.75,0.51,25.5,OVER,Starter,Cleveland Cavaliers @ Detroit Pistons,2.0,0.25,Pending,0,
2026-05-05,Duncan Robinson,PTS,11.5,Bovada,13.9,0.71,0.446,21.7,OVER,Starter,Cleveland Cavaliers @ Detroit Pistons,2.05,0.25,Pending,0,
2026-05-05,Luguentz Dort,3PTM,1.5,BetMGM,2.5,0.8,0.439,24.4,OVER,Rotation,Los Angeles Lakers @ Oklahoma City Thunder,1.8,0.25,Pending,0,
2026-05-05,Tobias Harris,REB,6.5,Caesars,7.5,0.67,0.379,18.3,OVER,Starter,Cleveland Cavaliers @ Detroit Pistons,2.07,0.25,Pending,0,
2026-05-05,Tobias Harris,3PTM,1.5,FanDuel,2.1,0.64,0.372,17.2,OVER,Starter,Cleveland Cavaliers @ Detroit Pistons,2.16,0.25,Pending,0,
2026-05-05,Chet Holmgren,3PTM,1.5,Fanatics,1.9,0.61,0.37,16.5,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,2.25,0.25,Pending,0,
