date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury
2026-04-12,Nikola Topic,REB,4.5,BetOnline.ag,2.4,0.98,0.882,45.9,UNDER,Rotation,Phoenix Suns @ Oklahoma City Thunder,1.92,0.25,Pending,0,
2026-04-12,Devin Carter,AST,5.5,BetOnline.ag,3.8,0.91,0.776,39.8,UNDER,Starter,Sacramento Kings @ Portland Trail Blazers,1.95,0.25,Pending,0,
2026-04-12,Baylor Scheierman,REB,6.5,BetOnline.ag,3.3,0.97,0.714,40.3,UNDER,Rotation,Orlando Magic @ Boston Celtics,1.77,0.25,Pending,0,
2026-04-12,Luka Garza,3PTM,1.5,BetOnline.ag,0.8,0.83,0.69,34.0,UNDER,Rotation,Orlando Magic @ Boston Celtics,2.03,0.25,Pending,0,
2026-04-12,LeBron James,PTS,26.5,BetOnline.ag,18.7,0.86,0.648,33.9,UNDER,Starter,Utah Jazz @ Los Angeles Lakers,1.91,0.25,Pending,0,
2026-04-12,Nikola Jokic,PTS,15.5,BetOnline.ag,23.2,0.83,0.614,31.5,OVER,Starter,Denver Nuggets @ San Antonio Spurs,1.95,0.25,Pending,0,
2026-04-12,Luke Kennard,3PTM,2.5,BetOnline.ag,1.4,0.82,0.539,28.8,UNDER,Rotation,Utah Jazz @ Los Angeles Lakers,1.87,0.25,Pending,0,
2026-04-12,Julian Strawther,PTS,14.5,BetOnline.ag,7.3,0.83,0.538,28.9,UNDER,Rotation,Denver Nuggets @ San Antonio Spurs,1.86,0.25,Pending,0,
2026-04-12,Tyrese Maxey,PTS,28.5,BetOnline.ag,23.2,0.87,0.516,29.5,UNDER,Starter,Milwaukee Bucks @ Philadelphia 76ers,1.75,0.25,Pending,0,
2026-04-12,Immanuel Quickley,3PTM,2.5,BetOnline.ag,1.7,0.81,0.414,23.7,UNDER,Rotation,Brooklyn Nets @ Toronto Raptors,1.75,0.25,Pending,0,
