date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury
2026-04-20,Ayo Dosunmu,PTS,13.5,Bovada,17.4,0.86,0.882,40.1,OVER,Starter,Minnesota Timberwolves @ Denver Nuggets,2.2,0.25,Pending,0,
2026-04-20,Jakob Poeltl,REB,6.5,BetRivers,4.4,0.87,0.685,35.5,UNDER,Rotation,Toronto Raptors @ Cleveland Cavaliers,1.93,0.25,Pending,0,
2026-04-20,Bruce Brown,PTS,5.5,Bovada,10.0,0.89,0.571,32.3,OVER,Rotation,Minnesota Timberwolves @ Denver Nuggets,1.77,0.25,Pending,0,
2026-04-20,Cameron Johnson,PTS,11.5,BetRivers,15.2,0.81,0.549,28.6,OVER,Starter,Minnesota Timberwolves @ Denver Nuggets,1.92,0.25,Pending,0,
2026-04-20,Sandro Mamukelashvili,PTS,8.5,Bovada,11.7,0.72,0.522,24.8,OVER,Rotation,Toronto Raptors @ Cleveland Cavaliers,2.1,0.25,Pending,0,
2026-04-20,Sandro Mamukelashvili,REB,4.5,BetRivers,5.4,0.7,0.502,23.4,OVER,Rotation,Toronto Raptors @ Cleveland Cavaliers,2.14,0.25,Pending,0,
2026-04-20,Rudy Gobert,REB,11.5,FanDuel,12.9,0.69,0.455,21.7,OVER,Starter,Minnesota Timberwolves @ Denver Nuggets,2.1,0.25,Pending,0,
2026-04-20,Max Strus,REB,3.5,BetRivers,4.7,0.71,0.451,22.1,OVER,Rotation,Toronto Raptors @ Cleveland Cavaliers,2.04,0.25,Pending,0,
2026-04-20,Naz Reid,AST,1.5,BetMGM,1.1,0.69,0.448,21.3,UNDER,Rotation,Minnesota Timberwolves @ Denver Nuggets,2.1,0.25,Pending,0,
2026-04-20,Scottie Barnes,AST,5.5,BetRivers,9.0,0.8,0.422,23.9,OVER,Starter,Toronto Raptors @ Cleveland Cavaliers,1.77,0.25,Pending,0,
