date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate
2026-03-24,Sacramento Kings @ Charlotte Hornets,SPREAD,Kings +17.5,17.5,Sacramento Kings by 12.9,4.6,Caesars,1.91,0.0,Pending,0,,0.9825,0.0175,3.91,-7.44,
2026-03-24,New Orleans Pelicans @ New York Knicks,SPREAD,Pelicans +8.5,8.5,New Orleans Pelicans by 2.8,5.7,Caesars,1.91,0.5,Pending,0,,0.8196,0.1804,4.44,-7.66,
2026-03-24,Orlando Magic @ Cleveland Cavaliers,MONEYLINE,Cleveland Cavaliers ML,,95.8% win prob,13.8,LowVig.ag,1.22,1.0,Pending,0,,0.9577,0.0423,13.81,-16.39,Cleveland Cavaliers ML
2026-03-24,Orlando Magic @ Cleveland Cavaliers,TOTAL,UNDER 231.0,231.0,212.8,18.2,Bovada,1.91,1.0,Pending,0,,0.9577,0.0423,13.81,-16.39,Cleveland Cavaliers ML
2026-03-24,Denver Nuggets @ Phoenix Suns,SPREAD,Suns +5.5,5.5,Phoenix Suns by 5.1,10.6,FanDuel,1.89,1.0,Pending,0,,0.8833,0.1167,54.99,-58.26,
2026-03-24,Denver Nuggets @ Phoenix Suns,TOTAL,OVER 233.0,233.0,245.2,12.2,FanDuel,1.94,1.0,Pending,0,,0.8833,0.1167,54.99,-58.26,
