date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury
2026-04-19,Keldon Johnson,PTS,10.5,FanDuel,15.1,0.93,0.815,41.6,OVER,Rotation,Portland Trail Blazers @ San Antonio Spurs,1.96,0.25,Pending,0,
2026-04-19,Jerami Grant,3PTM,1.5,BetRivers,2.9,0.81,0.769,35.3,OVER,Rotation,Portland Trail Blazers @ San Antonio Spurs,2.18,0.25,Pending,0,
2026-04-19,Dylan Harper,PTS,8.5,BetRivers,13.9,0.97,0.757,41.6,OVER,Rotation,Portland Trail Blazers @ San Antonio Spurs,1.82,0.25,Pending,0,
2026-04-19,Cade Cunningham,PTS,25.5,Bovada,17.4,0.82,0.756,35.2,UNDER,Rotation,Orlando Magic @ Detroit Pistons,2.15,0.25,Pending,0,
2026-04-19,Stephon Castle,AST,7.5,FanDuel,10.6,0.89,0.738,37.7,OVER,Starter,Portland Trail Blazers @ San Antonio Spurs,1.96,0.25,Pending,0,
2026-04-19,Scoot Henderson,PTS,10.5,Bovada,15.5,0.84,0.715,34.9,OVER,Rotation,Portland Trail Blazers @ San Antonio Spurs,2.05,0.25,Pending,0,
2026-04-19,Victor Wembanyama,3PTM,2.5,BetRivers,1.4,0.9,0.573,32.7,UNDER,Starter,Portland Trail Blazers @ San Antonio Spurs,1.75,0.25,Pending,0,
2026-04-19,Devin Vassell,REB,3.5,BetRivers,5.5,0.78,0.571,28.3,OVER,Starter,Portland Trail Blazers @ San Antonio Spurs,2.02,0.25,Pending,0,
2026-04-19,Dylan Harper,REB,2.5,BetRivers,3.6,0.73,0.504,24.6,OVER,Rotation,Portland Trail Blazers @ San Antonio Spurs,2.05,0.25,Pending,0,
2026-04-19,Paolo Banchero,AST,4.5,Bovada,6.1,0.74,0.474,23.7,OVER,Starter,Orlando Magic @ Detroit Pistons,2.0,0.25,Pending,0,
