date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury
2026-05-08,Mikal Bridges,REB,3.5,DraftKings,1.8,0.83,0.822,37.4,UNDER,Starter,New York Knicks @ Philadelphia 76ers,2.2,0.25,Pending,0,
2026-05-08,Anthony Edwards,PTS,22.5,Bovada,15.0,0.86,0.728,36.4,UNDER,Rotation,San Antonio Spurs @ Minnesota Timberwolves,2.0,0.25,Pending,0,
2026-05-08,Anthony Edwards,3PTM,2.5,BetMGM,1.6,0.85,0.693,34.6,UNDER,Rotation,San Antonio Spurs @ Minnesota Timberwolves,2.0,0.25,Pending,0,
2026-05-08,Karl-Anthony Towns,PTS,20.5,BetMGM,17.3,0.82,0.567,29.7,UNDER,Rotation,New York Knicks @ Philadelphia 76ers,1.91,0.25,Pending,0,
2026-05-08,Karl-Anthony Towns,REB,11.5,BetMGM,9.6,0.73,0.506,24.7,UNDER,Rotation,New York Knicks @ Philadelphia 76ers,2.05,0.25,Pending,0,
2026-05-08,Ayo Dosunmu,PTS,10.5,BetRivers,16.4,0.7,0.49,22.9,OVER,Starter,San Antonio Spurs @ Minnesota Timberwolves,2.14,0.25,Pending,0,
2026-05-08,Miles McBride,PTS,10.5,BetOnline.ag,6.1,0.75,0.486,24.7,UNDER,Rotation,New York Knicks @ Philadelphia 76ers,1.97,0.25,Pending,0,
2026-05-08,De'Aaron Fox,3PTM,1.5,FanDuel,2.1,0.69,0.482,22.3,OVER,Starter,San Antonio Spurs @ Minnesota Timberwolves,2.16,0.25,Pending,0,
2026-05-08,Quentin Grimes,REB,2.5,FanDuel,3.5,0.76,0.473,24.5,OVER,Rotation,New York Knicks @ Philadelphia 76ers,1.93,0.25,Pending,0,
2026-05-08,Mikal Bridges,3PTM,1.5,FanDuel,1.0,0.66,0.42,19.6,UNDER,Starter,New York Knicks @ Philadelphia 76ers,2.14,0.25,Pending,0,
