date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury
2026-04-02,Stephon Castle,AST,7.5,FanDuel,9.8,0.87,0.909,41.3,OVER,Starter,San Antonio Spurs @ Los Angeles Clippers,2.2,0.25,Pending,0,
2026-04-02,Stephon Castle,REB,5.5,BetMGM,7.1,0.7,0.546,24.8,OVER,Starter,San Antonio Spurs @ Los Angeles Clippers,2.2,0.25,Pending,0,
2026-04-02,Darius Garland,3PTM,2.5,BetRivers,4.6,0.86,0.537,30.0,OVER,Starter,San Antonio Spurs @ Los Angeles Clippers,1.79,0.25,Pending,0,
2026-04-02,Keldon Johnson,PTS,11.5,FanDuel,15.3,0.75,0.528,25.9,OVER,Rotation,San Antonio Spurs @ Los Angeles Clippers,2.04,0.25,Pending,0,
2026-04-02,Daniss Jenkins,AST,6.5,BetOnline.ag,7.5,0.69,0.527,24.0,OVER,Starter,Minnesota Timberwolves @ Detroit Pistons,2.2,0.25,Pending,0,
2026-04-02,LaMelo Ball,3PTM,3.5,BetOnline.ag,4.8,0.82,0.525,28.2,OVER,Starter,Phoenix Suns @ Charlotte Hornets,1.86,0.25,Pending,0,
2026-04-02,Luka Doncic,PTS,33.5,Bovada,37.4,0.67,0.515,22.9,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,2.25,0.25,Pending,0,
2026-04-02,Grayson Allen,PTS,13.5,BetRivers,16.9,0.73,0.508,24.7,OVER,Rotation,Phoenix Suns @ Charlotte Hornets,2.06,0.25,Pending,0,
2026-04-02,Jalen Duren,PTS,23.5,Bovada,26.4,0.65,0.503,21.9,OVER,Starter,Minnesota Timberwolves @ Detroit Pistons,2.3,0.25,Pending,0,
2026-04-02,Sam Merrill,3PTM,2.5,BetRivers,2.0,0.66,0.502,22.0,UNDER,Rotation,Cleveland Cavaliers @ Golden State Warriors,2.28,0.25,Pending,0,
