date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury
2026-04-25,Bruce Brown,PTS,6.5,Bovada,9.3,0.8,0.765,34.8,OVER,Rotation,Denver Nuggets @ Minnesota Timberwolves,2.2,0.25,Pending,0,
2026-04-25,Jaden McDaniels,PTS,16.5,BetRivers,19.3,0.81,0.675,32.8,OVER,Starter,Denver Nuggets @ Minnesota Timberwolves,2.06,0.25,Pending,0,
2026-04-25,Ajay Mitchell,PTS,13.5,DraftKings,10.4,0.84,0.643,32.8,UNDER,Rotation,Oklahoma City Thunder @ Phoenix Suns,1.96,0.25,Pending,0,
2026-04-25,Duncan Robinson,3PTM,2.5,FanDuel,3.2,0.72,0.63,27.9,OVER,Rotation,Detroit Pistons @ Orlando Magic,2.26,0.25,Pending,0,
2026-04-25,Duncan Robinson,PTS,10.5,Bovada,14.1,0.79,0.613,29.9,OVER,Rotation,Detroit Pistons @ Orlando Magic,2.05,0.25,Pending,0,
2026-04-25,Aaron Gordon,AST,2.5,FanDuel,3.4,0.75,0.571,27.2,OVER,Starter,Denver Nuggets @ Minnesota Timberwolves,2.1,0.25,Pending,0,
2026-04-25,Anthony Black,REB,2.5,DraftKings,4.7,0.88,0.549,31.0,OVER,Rotation,Detroit Pistons @ Orlando Magic,1.77,0.25,Pending,0,
2026-04-25,Luguentz Dort,REB,3.5,FanDuel,2.0,0.9,0.546,31.8,UNDER,Rotation,Oklahoma City Thunder @ Phoenix Suns,1.72,0.25,Pending,0,
2026-04-25,Tristan da Silva,REB,2.5,BetOnline.ag,3.3,0.73,0.484,24.0,OVER,Rotation,Detroit Pistons @ Orlando Magic,2.02,0.25,Pending,0,
2026-04-25,Mikal Bridges,REB,2.5,BetRivers,1.9,0.67,0.472,21.5,UNDER,Starter,New York Knicks @ Atlanta Hawks,2.2,0.25,Pending,0,
