date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate
2026-04-01,Philadelphia 76ers @ Washington Wizards,SPREAD,Wizards +13.5,13.5,Washington Wizards by 0.3,13.2,Bovada,1.91,1.0,Pending,0,,0.7116,0.2884,58.74,-60.45,
2026-04-01,Philadelphia 76ers @ Washington Wizards,TOTAL,OVER 238.5,238.5,243.3,4.8,Bovada,1.91,0.0,Pending,0,,0.7116,0.2884,58.74,-60.45,
2026-04-01,Boston Celtics @ Miami Heat,TOTAL,OVER 228.5,228.5,237.9,9.4,Caesars,1.87,0.5,Pending,0,,0.5564,0.4436,19.92,-21.0,
2026-04-01,Milwaukee Bucks @ Houston Rockets,SPREAD,Bucks +17.5,17.5,Milwaukee Bucks by 0.5,17.0,MyBookie.ag,1.91,1.0,Pending,0,,0.743,0.257,-20.04,17.37,
2026-04-01,Milwaukee Bucks @ Houston Rockets,TOTAL,OVER 217.5,217.5,222.0,4.5,MyBookie.ag,1.91,0.0,Pending,0,,0.743,0.257,-20.04,17.37,
2026-04-01,New York Knicks @ Memphis Grizzlies,SPREAD,Grizzlies +14.5,14.5,Memphis Grizzlies by 4.8,9.7,Bovada,1.91,0.5,Pending,0,,0.5091,0.4909,38.41,-41.0,
2026-04-01,New York Knicks @ Memphis Grizzlies,TOTAL,OVER 228.0,228.0,237.6,9.6,Bovada,1.91,0.5,Pending,0,,0.5091,0.4909,38.41,-41.0,
2026-04-01,Sacramento Kings @ Toronto Raptors,MONEYLINE,Toronto Raptors ML,,93.9% win prob,5.4,LowVig.ag,1.13,0.5,Pending,0,,0.9394,0.0606,5.45,-7.1,Toronto Raptors ML
2026-04-01,Sacramento Kings @ Toronto Raptors,SPREAD,Kings +13.5,13.5,Sacramento Kings by 8.2,5.3,FanDuel,1.91,0.5,Pending,0,,0.9394,0.0606,5.45,-7.1,Toronto Raptors ML
2026-04-01,Sacramento Kings @ Toronto Raptors,TOTAL,OVER 226.5,226.5,229.9,3.4,FanDuel,1.91,0.0,Pending,0,,0.9394,0.0606,5.45,-7.1,Toronto Raptors ML
2026-04-01,Indiana Pacers @ Chicago Bulls,TOTAL,UNDER 247.5,247.5,237.5,10.0,Caesars,1.95,1.0,Pending,0,,0.7612,0.2388,13.23,-16.12,
2026-04-01,Denver Nuggets @ Utah Jazz,SPREAD,Jazz +17.0,17.0,Utah Jazz by 0.9,17.9,Caesars,1.87,1.0,Pending,0,,0.7556,0.2444,66.86,-69.9,
2026-04-01,San Antonio Spurs @ Golden State Warriors,SPREAD,Warriors +13.5,13.5,Golden State Warriors by 5.9,7.6,DraftKings,1.93,0.5,Pending,0,,0.4566,0.5434,31.44,-34.95,
2026-04-01,San Antonio Spurs @ Golden State Warriors,TOTAL,OVER 226.0,226.0,239.0,13.0,DraftKings,1.87,1.0,Pending,0,,0.4566,0.5434,31.44,-34.95,
