date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury
2026-05-04,Quentin Grimes,REB,2.5,DraftKings,3.7,0.83,0.718,34.8,OVER,Rotation,Philadelphia 76ers @ New York Knicks,2.06,0.25,Pending,0,
2026-05-04,VJ Edgecombe,REB,5.5,Caesars,7.0,0.72,0.599,27.1,OVER,Starter,Philadelphia 76ers @ New York Knicks,2.21,0.25,Pending,0,
2026-05-04,Luke Kornet,REB,4.5,Bovada,6.1,0.76,0.597,28.4,OVER,Rotation,Minnesota Timberwolves @ San Antonio Spurs,2.1,0.25,Pending,0,
2026-05-04,Paul George,PTS,15.5,Bovada,17.6,0.73,0.526,25.0,OVER,Starter,Philadelphia 76ers @ New York Knicks,2.1,0.25,Pending,0,
2026-05-04,Jordan Clarkson,PTS,5.5,Bovada,7.3,0.76,0.453,23.7,OVER,Rotation,Philadelphia 76ers @ New York Knicks,1.91,0.25,Pending,0,
2026-05-04,Mikal Bridges,REB,2.5,FanDuel,1.8,0.66,0.409,19.3,UNDER,Rotation,Philadelphia 76ers @ New York Knicks,2.12,0.25,Pending,0,
2026-05-04,Josh Hart,AST,4.5,FanDuel,3.6,0.74,0.395,21.0,UNDER,Starter,Philadelphia 76ers @ New York Knicks,1.88,0.25,Pending,0,
2026-05-04,Tyrese Maxey,AST,6.5,BetMGM,5.0,0.77,0.389,21.6,UNDER,Starter,Philadelphia 76ers @ New York Knicks,1.8,0.25,Pending,0,
2026-05-04,Dylan Harper,PTS,9.5,FanDuel,13.0,0.7,0.37,18.9,OVER,Rotation,Minnesota Timberwolves @ San Antonio Spurs,1.96,0.25,Pending,0,
2026-05-04,Anthony Edwards,3PTM,2.5,BetOnline.ag,2.1,0.64,0.354,16.9,UNDER,Starter,Minnesota Timberwolves @ San Antonio Spurs,2.1,0.25,Pending,0,
