date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate
2026-03-29,Los Angeles Clippers @ Milwaukee Bucks,SPREAD,Bucks +15.5,15.5,Milwaukee Bucks by 8.0,7.5,Caesars,1.91,0.5,Pending,0,,0.3614,0.6386,23.64,-27.05,
2026-03-29,Los Angeles Clippers @ Milwaukee Bucks,TOTAL,OVER 221.0,221.0,225.3,4.3,Caesars,1.91,0.0,Pending,0,,0.3614,0.6386,23.64,-27.05,
2026-03-29,Miami Heat @ Indiana Pacers,TOTAL,UNDER 244.5,244.5,239.5,5.0,DraftKings,1.91,0.5,Pending,0,,0.4317,0.5683,18.17,-21.3,
2026-03-29,Boston Celtics @ Charlotte Hornets,SPREAD,Celtics +1.0,1.0,Boston Celtics by 4.9,5.9,LowVig.ag,1.9,0.5,Pending,0,,0.5046,0.4954,0.46,-1.22,
2026-03-29,Boston Celtics @ Charlotte Hornets,TOTAL,UNDER 216.0,216.0,212.4,3.6,LowVig.ag,1.93,0.0,Pending,0,,0.5046,0.4954,0.46,-1.22,
2026-03-29,Sacramento Kings @ Brooklyn Nets,SPREAD,Nets +1.0,1.0,Brooklyn Nets by 2.6,3.6,FanDuel,1.89,0.0,Pending,0,,0.8157,0.1843,31.57,-35.04,
2026-03-29,Sacramento Kings @ Brooklyn Nets,TOTAL,OVER 221.5,221.5,233.1,11.6,FanDuel,1.91,1.0,Pending,0,,0.8157,0.1843,31.57,-35.04,
2026-03-29,Orlando Magic @ Toronto Raptors,TOTAL,OVER 225.5,225.5,231.2,5.7,LowVig.ag,1.88,0.5,Pending,0,,0.7518,0.2482,19.0,-21.48,
2026-03-29,Washington Wizards @ Portland Trail Blazers,SPREAD,Wizards +16.5,16.5,Washington Wizards by 6.5,10.0,LowVig.ag,1.96,1.0,Pending,0,,0.9122,0.0878,-0.52,-1.75,
2026-03-29,Washington Wizards @ Portland Trail Blazers,TOTAL,OVER 238.0,238.0,246.0,8.0,LowVig.ag,1.98,0.5,Pending,0,,0.9122,0.0878,-0.52,-1.75,
2026-03-29,Houston Rockets @ New Orleans Pelicans,SPREAD,Pelicans +6.0,6.0,New Orleans Pelicans by 6.5,12.5,Caesars,1.91,1.0,Pending,0,,0.9124,0.0876,58.45,-60.68,
2026-03-29,New York Knicks @ Oklahoma City Thunder,MONEYLINE,New York Knicks ML,,65.1% win prob,40.1,Fanatics,4.0,1.0,Pending,0,,0.3488,0.6512,-42.64,40.12,New York Knicks ML
2026-03-29,New York Knicks @ Oklahoma City Thunder,SPREAD,Knicks +8.5,8.5,New York Knicks by 8.3,16.8,Caesars,1.91,1.0,Pending,0,,0.3488,0.6512,-42.64,40.12,New York Knicks ML
2026-03-29,New York Knicks @ Oklahoma City Thunder,TOTAL,UNDER 224.0,224.0,219.0,5.0,Caesars,1.91,0.5,Pending,0,,0.3488,0.6512,-42.64,40.12,New York Knicks ML
2026-03-29,Golden State Warriors @ Denver Nuggets,MONEYLINE,Denver Nuggets ML,,94.5% win prob,8.3,LowVig.ag,1.16,0.5,Pending,0,,0.9447,0.0553,8.26,-11.14,Denver Nuggets ML
2026-03-29,Golden State Warriors @ Denver Nuggets,SPREAD,Warriors +12.5,12.5,Golden State Warriors by 8.6,3.9,FanDuel,1.91,0.0,Pending,0,,0.9447,0.0553,8.26,-11.14,Denver Nuggets ML
2026-03-29,Golden State Warriors @ Denver Nuggets,TOTAL,UNDER 239.0,239.0,234.6,4.4,FanDuel,1.94,0.0,Pending,0,,0.9447,0.0553,8.26,-11.14,Denver Nuggets ML
