date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate
2026-04-21,Philadelphia 76ers @ Boston Celtics,SPREAD,76ers +14.5,14.5,Philadelphia 76ers by 2.6,11.9,Caesars,1.91,1.0,Pending,0,,0.814,0.186,-7.88,6.55,
2026-04-21,Philadelphia 76ers @ Boston Celtics,TOTAL,OVER 217.0,217.0,221.4,4.4,Caesars,1.91,0.0,Pending,0,,0.814,0.186,-7.88,6.55,
2026-04-21,Portland Trail Blazers @ San Antonio Spurs,MONEYLINE,San Antonio Spurs ML,,93.8% win prob,6.9,DraftKings,1.15,0.5,Pending,0,,0.9384,0.0616,6.88,-9.89,San Antonio Spurs ML
2026-04-21,Portland Trail Blazers @ San Antonio Spurs,SPREAD,Blazers +11.5,11.5,Portland Trail Blazers by 8.1,3.4,Caesars,1.95,0.0,Pending,0,,0.9384,0.0616,6.88,-9.89,San Antonio Spurs ML
2026-04-21,Portland Trail Blazers @ San Antonio Spurs,TOTAL,OVER 220.5,220.5,236.3,15.8,Caesars,1.91,1.0,Pending,0,,0.9384,0.0616,6.88,-9.89,San Antonio Spurs ML
2026-04-21,Houston Rockets @ Los Angeles Lakers,TOTAL,OVER 208.0,208.0,225.5,17.5,Bovada,1.91,1.0,Pending,0,,0.6101,0.3899,25.55,-26.8,
