date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury
2026-05-07,Dean Wade,REB,3.5,BetMGM,4.2,0.78,0.676,31.4,OVER,Rotation,Cleveland Cavaliers @ Detroit Pistons,2.15,0.25,Pending,0,
2026-05-07,Max Strus,REB,4.5,DraftKings,5.3,0.67,0.53,23.3,OVER,Rotation,Cleveland Cavaliers @ Detroit Pistons,2.27,0.25,Pending,0,
2026-05-07,Jaxson Hayes,REB,3.5,BetMGM,2.5,0.72,0.518,24.7,UNDER,Rotation,Los Angeles Lakers @ Oklahoma City Thunder,2.1,0.25,Pending,0,
2026-05-07,Rui Hachimura,PTS,13.5,Bovada,15.9,0.72,0.506,24.1,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,2.1,0.25,Pending,0,
2026-05-07,LeBron James,AST,7.5,BetMGM,9.3,0.76,0.476,24.4,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,1.95,0.25,Pending,0,
2026-05-07,Deandre Ayton,PTS,10.5,BetRivers,14.2,0.69,0.473,22.3,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,2.12,0.25,Pending,0,
2026-05-07,Dean Wade,PTS,4.5,FanDuel,6.1,0.76,0.472,24.4,OVER,Rotation,Cleveland Cavaliers @ Detroit Pistons,1.93,0.25,Pending,0,
2026-05-07,LeBron James,PTS,21.5,FanDuel,25.1,0.72,0.458,22.7,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,2.02,0.25,Pending,0,
2026-05-07,Tobias Harris,REB,6.5,BetOnline.ag,7.8,0.73,0.446,22.5,OVER,Starter,Cleveland Cavaliers @ Detroit Pistons,1.98,0.25,Pending,0,
2026-05-07,Marcus Smart,AST,3.5,DraftKings,6.7,0.82,0.44,25.2,OVER,Starter,Los Angeles Lakers @ Oklahoma City Thunder,1.75,0.25,Pending,0,
