date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury
2026-04-07,Zion Williamson,AST,3.5,FanDuel,2.6,0.9,1.001,45.1,UNDER,Starter,Utah Jazz @ New Orleans Pelicans,2.22,0.25,Pending,0,
2026-04-07,Zion Williamson,PTS,21.5,BetRivers,17.7,0.83,0.848,38.0,UNDER,Starter,Utah Jazz @ New Orleans Pelicans,2.23,0.25,Pending,0,
2026-04-07,Saddiq Bey,3PTM,2.5,BetRivers,3.5,0.82,0.8,36.3,OVER,Starter,Utah Jazz @ New Orleans Pelicans,2.2,0.25,Pending,0,
2026-04-07,Rui Hachimura,PTS,15.5,Bovada,8.8,0.87,0.792,38.6,UNDER,Rotation,Oklahoma City Thunder @ Los Angeles Lakers,2.05,0.25,Pending,0,
2026-04-07,Scottie Barnes,AST,7.5,Bovada,9.9,0.8,0.75,34.1,OVER,Starter,Miami Heat @ Toronto Raptors,2.2,0.25,Pending,0,
2026-04-07,Luke Kennard,PTS,14.5,BetRivers,9.0,0.8,0.738,34.2,UNDER,Starter,Oklahoma City Thunder @ Los Angeles Lakers,2.16,0.25,Pending,0,
2026-04-07,Jake LaRavia,PTS,11.5,BetRivers,7.1,0.8,0.665,32.0,UNDER,Starter,Oklahoma City Thunder @ Los Angeles Lakers,2.08,0.25,Pending,0,
2026-04-07,Donte DiVincenzo,REB,3.5,BetMGM,2.0,0.89,0.66,35.3,UNDER,Starter,Minnesota Timberwolves @ Indiana Pacers,1.87,0.25,Pending,0,
2026-04-07,R.J. Barrett,REB,5.5,Bovada,4.5,0.73,0.649,28.8,UNDER,Starter,Miami Heat @ Toronto Raptors,2.25,0.25,Pending,0,
2026-04-07,Dillon Brooks,REB,3.5,Bovada,4.6,0.77,0.648,30.1,OVER,Starter,Houston Rockets @ Phoenix Suns,2.15,0.25,Pending,0,
