date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury
2026-04-18,Ayo Dosunmu,PTS,10.5,BetOnline.ag,18.1,0.99,0.855,45.5,OVER,Starter,Minnesota Timberwolves @ Denver Nuggets,1.88,0.25,Pending,0,
2026-04-18,Jabari Smith Jr,PTS,14.5,FanDuel,18.0,0.86,0.728,36.4,OVER,Starter,Houston Rockets @ Los Angeles Lakers,2.0,0.25,Pending,0,
2026-04-18,LeBron James,PTS,24.5,Bovada,18.2,0.84,0.72,35.1,UNDER,Starter,Houston Rockets @ Los Angeles Lakers,2.05,0.25,Pending,0,
2026-04-18,Bruce Brown,PTS,5.5,BetOnline.ag,10.4,0.9,0.7,37.2,OVER,Rotation,Minnesota Timberwolves @ Denver Nuggets,1.88,0.25,Pending,0,
2026-04-18,Donte DiVincenzo,AST,3.5,BetRivers,2.2,0.94,0.68,38.0,UNDER,Rotation,Minnesota Timberwolves @ Denver Nuggets,1.79,0.25,Pending,0,
2026-04-18,Max Strus,REB,3.5,FanDuel,4.8,0.74,0.623,28.6,OVER,Rotation,Toronto Raptors @ Cleveland Cavaliers,2.18,0.25,Pending,0,
2026-04-18,Ja'Kobe Walter,3PTM,1.5,BetRivers,2.4,0.76,0.609,28.7,OVER,Rotation,Toronto Raptors @ Cleveland Cavaliers,2.12,0.25,Pending,0,
2026-04-18,LeBron James,3PTM,1.5,BetRivers,0.9,0.76,0.554,27.2,UNDER,Starter,Houston Rockets @ Los Angeles Lakers,2.04,0.25,Pending,0,
2026-04-18,Kevin Durant,AST,4.5,BetRivers,7.0,0.89,0.536,31.2,OVER,Starter,Houston Rockets @ Los Angeles Lakers,1.72,0.25,Pending,0,
2026-04-18,C.J. McCollum,AST,3.5,FanDuel,5.6,0.85,0.513,28.8,OVER,Starter,Atlanta Hawks @ New York Knicks,1.78,0.25,Pending,0,
