date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury
2026-05-18,Chet Holmgren,PTS,15.5,FanDuel,20.6,0.81,0.546,28.6,OVER,Starter,San Antonio Spurs @ Oklahoma City Thunder,1.91,0.25,Pending,0,
2026-05-18,Chet Holmgren,REB,8.5,FanDuel,10.5,0.8,0.539,27.9,OVER,Starter,San Antonio Spurs @ Oklahoma City Thunder,1.93,0.25,Pending,0,
2026-05-18,Jalen Williams,AST,4.5,DraftKings,6.0,0.76,0.529,26.5,OVER,Rotation,San Antonio Spurs @ Oklahoma City Thunder,2.0,0.25,Pending,0,
2026-05-18,Ajay Mitchell,AST,3.5,BetMGM,4.5,0.66,0.512,22.3,OVER,Starter,San Antonio Spurs @ Oklahoma City Thunder,2.3,0.25,Pending,0,
2026-05-18,Jalen Williams,PTS,15.5,FanDuel,19.6,0.75,0.476,24.1,OVER,Rotation,San Antonio Spurs @ Oklahoma City Thunder,1.98,0.25,Pending,0,
2026-05-18,Stephon Castle,3PTM,1.5,BetMGM,2.1,0.66,0.452,20.5,OVER,Starter,San Antonio Spurs @ Oklahoma City Thunder,2.2,0.25,Pending,0,
2026-05-18,Victor Wembanyama,REB,12.5,DraftKings,9.5,0.72,0.448,22.3,UNDER,Rotation,San Antonio Spurs @ Oklahoma City Thunder,2.01,0.25,Pending,0,
2026-05-18,De'Aaron Fox,PTS,15.5,FanDuel,18.6,0.74,0.428,22.2,OVER,Starter,San Antonio Spurs @ Oklahoma City Thunder,1.93,0.25,Pending,0,
2026-05-18,Victor Wembanyama,PTS,24.5,DraftKings,17.7,0.73,0.386,20.2,UNDER,Rotation,San Antonio Spurs @ Oklahoma City Thunder,1.91,0.25,Pending,0,
2026-05-18,Devin Vassell,REB,4.5,FanDuel,5.3,0.6,0.331,14.9,OVER,Starter,San Antonio Spurs @ Oklahoma City Thunder,2.22,0.25,Pending,0,
